universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Islam    -  Agama Katholik    -  Agama Protestan    -  Agama dan Politik",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","FILSAFAT ILMU",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","PENGANTAR ANTROPOLOGI BUDAYA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","PENGANTAR HUBUNGAN INTERNASIONAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","PEMIKIRAN POLITIK INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","PENGANTAR ILMU EKONOMI",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","PENGANTAR ILMU POLITIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","PENGANTAR SOSIOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","SISTEM POLITIK INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","TEKNIK PENULISAN ILMIAH",2,1,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Genap","DEMOKRASI DAN PEMBANGUNAN POLITIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Genap","KOMUNIKASI DAN LOBI POLITIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Genap","PEMIKIRAN POLITIK BARAT",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Genap","POLITIK DAN OTONOMI DAERAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Genap","TEORI KEBIJAKAN PUBLIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Genap","TEORI POLITIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","EKONOMI POLITIK",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","ETIKA POLITIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","STATISTIK SOSIAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","BAHASA INGGRIS",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","BIROKRASI DAN POLITIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","POLITIK HUKUM",2,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Ganjil","PUBLIC SPEAKING",3,3,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Genap","CIVIL SOCIETY DAN PEMBERDAYAAN MASYARAKAT",2,4,"Wajib"
"Universitas Negeri Surabaya","Ilmu Politik","Genap","HAM DAN POLITIK GENDER",2,4,"Wajib"
