universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Kebidanan","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","BASIC SCIENCE IN MIDWIFERY I (GENETIKA, IMUNOLOGI, MIKROBIOLOGI & PARASITOLOGI)",3,1,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","ETIKA & HUKUM KESEHATAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","BASIC SCIENCE IN MIDWIFERY II (ANATOMI & FISIOLOGI MANUSIA)",6,1,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","KONSEP PELAYANAN & PROFESIONALISME KEBIDANAN",6,1,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Genap","BASIC SCIENCE IN MIDWIFERY III (FISIKA KESEHATAN, BIOKIMIA, FARMAKOLOGI)",4,2,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Genap","BASIC SCIENCE IN MIDWIFERY IV (BIOLOGI REPRODUKSI, OBSTETRI & GINEKOLOGI)",6,2,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Genap","KETERAMPILAN DASAR PRAKTIK KEBIDANAN",6,2,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","ASUHAN KEBIDANAN DALAM KB DAN PELAYANAN KONTRASEPSI",3,3,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","BAHASA INGGRIS",2,3,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","KOMUNIKASI EFEKTIF DALAM PRAKTIK KEBIDANAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","PROMOTIF DAN PREVENTIF DALAM KEBIDANAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","ASUHAN KEBIDANAN PRANIKAH DAN PRAKONSEPSI",3,3,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","FISIOLOGI DAN PSIKOLOGI KEHAMILAN, PERSALINAN, NIFAS DAN BAYI BARU LAHIR",4,3,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","MASALAH DAN GANGGUAN SISTEM REPRODUKSI",3,3,"Wajib"
"Universitas Negeri Surabaya","Kebidanan","Genap","ASUHAN KEBIDANAN BAYI, BALITA DAN ANAK PRASEKOLAH",3,4,"Pilihan"
"Universitas Negeri Surabaya","Kebidanan","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Pilihan"
"Universitas Negeri Surabaya","Kebidanan","Genap","PENGEMBANGAN KARIER",2,4,"Pilihan"
"Universitas Negeri Surabaya","Kebidanan","Genap","ASUHAN KEBIDANAN REMAJA, WUS DAN PERIMENOPAUSE",3,4,"Pilihan"
"Universitas Negeri Surabaya","Kebidanan","Genap","LITERASI DIGITAL",2,4,"Pilihan"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","ASUHAN KEBIDANAN KEHAMILAN",4,5,"Pilihan"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","ASUHAN KEBIDANAN MASA NIFAS & MANAJEMEN LAKTASI",3,5,"Pilihan"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","ASUHAN KEBIDANAN PERSALINAN DAN BAYI BARU LAHIR",6,5,"Pilihan"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","PHYSICAL EXERCISE DALAM KEHAMILAN DAN PERSALINAN",3,5,"Pilihan"
"Universitas Negeri Surabaya","Kebidanan","Ganjil","PHYSICAL EXERCISE UNTUK IBU NIFAS DAN MENYUSUI",2,5,"Pilihan"
"Universitas Negeri Surabaya","Kebidanan","Genap","AQUATIC EXERCISE & MEDICAL WELLNESS IN MIDWIFERY PRACTICE",3,6,"Wajib"
