universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","ALJABAR MATRIKS",3,1,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","DASAR PEMROGRAMAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","INTERAKSI MANUSIA DAN KECERDASAN ARTIFISIAL",3,1,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","MATEMATIKA DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","MATEMATIKA DISKRIT",3,1,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","KONSEP DASAR KECERDASAN ARTIFISIAL",3,2,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","PROBABILITAS DAN STATISTIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","TEORI GRAF",3,2,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","ARSITEKTUR DAN SISTEM KOMPUTER",3,2,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","STRUKTUR DATA",3,2,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","DESAIN DAN ANALISIS ALGORITMA",3,3,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","INTEGRITAS DAN KEAMANAN SIBER",3,3,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","PANCASILA",2,3,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","PEMBELAJARAN MESIN",3,3,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","PEMROGRAMAN BERORIENTASI OBJEK",3,3,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","BASIS DATA",3,3,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","SISTEM OPERASI",3,3,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","KEWARGANEGARAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","PEMBELAJARAN MENDALAM",3,4,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","PEMROGRAMAN WEB",3,4,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","PEMROSESAN BAHASA ALAMI",3,4,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","PENAMBANGAN DATA",3,4,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","PENGOLAHAN CITRA DIGITAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","KONSERVASI SUMBER DAYA ALAM DAN LINGKUNGAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","SISTEM BENAM",3,4,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","ETIKA PROFESI KECERDASAN ARTIFISIAL",2,5,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","INTERNET OF THING",3,5,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","KOMPUTASI BIOMEDIK",3,5,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","KOMPUTASI TERDISTRIBUSI",3,5,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","VISI KOMPUTER",3,5,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","DASAR PENGEMBANGAN DAN PERANCANGAN PERANGKAT LUNAK",3,5,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","TEMU KEMBALI INFORMASI",3,5,"Wajib"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","ANALISIS BIG DATA",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","ANALISIS DAN VISUALISASI DATA",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","DATA WAREHOUSE",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","E-GOVERNMENT",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","GRAFIKA KOMPUTER",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","JARINGAN KOMPUTER",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","KECERDASAN BISNIS",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","KEWIRAUSAHAAN",2,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","KOMUNIKASI PUBLIK",2,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","PEMBELAJARAN JARAK JAUH",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","PEMBELAJARAN MESIN KUANTUM",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","PENGEMBANGAN KARIER",2,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","PENGOLAHAN SINYAL DIGITAL",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","SAINS NEURO KOGNISI",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","ANALISIS MULTIVARIAT",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","MANAJEMEN KEPEMIMPINAN",2,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","MANAJEMEN RESIKO",2,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","REKAYASA BIOMETRIKA",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","REKAYASA DATA",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Genap","ROBOTIKA",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kecerdasan Artifisial","Ganjil","BIOINFORMATIKA",3,7,"Wajib"
