universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Kedokteran Gigi","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Kedokteran Gigi","Ganjil","ANATOMI TUBUH MANUSIA",4,1,"Wajib"
"Universitas Negeri Surabaya","Kedokteran Gigi","Ganjil","BIOLOGI DASAR RONGGA MULUT",3,1,"Wajib"
"Universitas Negeri Surabaya","Kedokteran Gigi","Ganjil","FISIOLOGI TUBUH MANUSIA",3,1,"Wajib"
"Universitas Negeri Surabaya","Kedokteran Gigi","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Kedokteran Gigi","Ganjil","SOSIO KOMUNIKASI HUMANIORA",4,1,"Wajib"
"Universitas Negeri Surabaya","Kedokteran Gigi","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Kedokteran Gigi","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Kedokteran Gigi","Genap","BIOLOGI ORAL LANJUT",4,2,"Wajib"
"Universitas Negeri Surabaya","Kedokteran Gigi","Genap","DENTAL MATERIAL, INOVASI DAN TEKNOLOGI KEDOKTERAN GIGI 1",3,2,"Wajib"
"Universitas Negeri Surabaya","Kedokteran Gigi","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Kedokteran Gigi","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Kedokteran Gigi","Genap","PATOLOGI MULUT DAN MAKSILOFASIAL",4,2,"Wajib"
