universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Kedokteran","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","DAUR HIDUP",6,1,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","HUMANIORA & MASALAH KESEHATAN",6,1,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","SEL DAN MOLEKUL",6,1,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","TRAKLINDAS -KOMUNIKASI",2,1,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Genap","ILMU DASAR TUBUH MANUSIA 1 (KEPALA LEHER)",6,2,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Genap","ILMU DASAR TUBUH MANUSIA 2 (THORAX)",6,2,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Genap","ILMU DASAR TUBUH MANUSIA 3 (ABDOMEN)",6,2,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Genap","TRAKLINDAS: PEMERIKSAAN FISIK DASAR & BLS",3,2,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","ENDOKRIN DAN HEMATOIMUNOLOGI",6,3,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","KARDIORESPIRASI",6,3,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","PENCERNAAN",6,3,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","TRAKLINDAS : KARDIORESPIRASI-PENCERNAAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Genap","BAHASA INGGRIS",2,4,"Pilihan"
"Universitas Negeri Surabaya","Kedokteran","Genap","REPRODUKSI",6,4,"Pilihan"
"Universitas Negeri Surabaya","Kedokteran","Genap","TRAKLINDAS: UROGENITAL-REPRODUKSI",3,4,"Pilihan"
"Universitas Negeri Surabaya","Kedokteran","Genap","UROGENITAL",6,4,"Pilihan"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","INTEGUMEN",6,5,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","LITERASI DIGITAL",2,5,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","NEURO",6,5,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","SISTEM INDRA",6,5,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","TRAKLINDAS: INTEGUMEN-SISTEM INDRA-NEURO",3,5,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Genap","LOKOMOTOR DAN KEGAWATDARURATAN",6,6,"Pilihan"
"Universitas Negeri Surabaya","Kedokteran","Genap","SEMINAR PROPOSAL TUGAS AKHIR",2,6,"Pilihan"
"Universitas Negeri Surabaya","Kedokteran","Genap","TRAKLINDAS: PSIKIATRI-MUSKULOSKELETAL-KEGAWATDARURATAN",3,6,"Pilihan"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","BAHASA INDONESIA",2,7,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","INTERPROFESSIONAL EDUCATION",2,7,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","KEBUGARAN MEDIK",2,7,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","KEDOKTERAN OLAHRAGA PADA ATLET",2,7,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Ganjil","SKRIPSI",4,7,"Wajib"
"Universitas Negeri Surabaya","Kedokteran","Genap","TUGAS AKHIR",4,8,"Wajib"
