universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Keperawatan","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","KOMUNIKASI DASAR KEPERAWATAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","KONSEP DASAR KEPERAWATAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","PEMENUHAN KEBUTUHAN DASAR MANUSIA",4,1,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","PSIKOSOSIAL DAN BUDAYA DALAM KEPERAWATAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","FALSAFAH DAN TEORI KEPERAWATAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","ILMU BIOMEDIK DASAR",4,1,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","ILMU DASAR KEPERAWATAN",3,2,"Pilihan"
"Universitas Negeri Surabaya","Keperawatan","Genap","KOMUNIKASI TERAPEUTIK KEPERAWATAN",3,2,"Pilihan"
"Universitas Negeri Surabaya","Keperawatan","Genap","PANCASILA",2,2,"Pilihan"
"Universitas Negeri Surabaya","Keperawatan","Genap","PATOLOGI OLAHRAGA",2,2,"Pilihan"
"Universitas Negeri Surabaya","Keperawatan","Genap","PROSES KEPERAWATAN DAN BERPIKIR KRITIS",3,2,"Pilihan"
"Universitas Negeri Surabaya","Keperawatan","Genap","BAHASA INDONESIA",2,2,"Pilihan"
"Universitas Negeri Surabaya","Keperawatan","Genap","KETERAMPILAN DASAR KEPERAWATAN",3,2,"Pilihan"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","KEPERAWATAN DEWASA SISTEM PERNAFASAN, KARDIOVASKULER DAN HEMATOLOGI",4,3,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","PROMOSI DAN PENDIDIKAN KESEHATAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","PSIKOLOGI OLAHRAGA",2,3,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","SISTEM INFORMASI KEPERAWATAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","FARMAKOLOGI KEPERAWATAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","KEPERAWATAN MATERNITAS",4,3,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","KEPERAWATAN DEWASA SYSTEM ENDOKRIN, IMUNOLOGI, PENCERNAAN, PERKEMIHAN DAN REPRODUKSI PRIA",4,4,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","KEPERAWATAN KESEHATAN JIWA DAN PSIKOSOSIAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","LITERASI DIGITAL",2,4,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","METODOLOGI PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","NUTRISI OLAHRAGA",2,4,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","OLAHRAGA ANAK USIA DINI",2,4,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","OLAHRAGA KONDISI KHUSUS",2,4,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","OLAHRAGA LANJUT USIA",2,4,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","KEPERAWATAN KESEHATAN REPRODUKSI",2,4,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","BAHASA INGGRIS",2,5,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","BIOSTATISTIK",2,5,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","KEPERAWATAN ANAK SEHAT DAN SAKIT AKUT",4,5,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","KEPERAWATAN DEWASA SISTEM MUSKULOSKELETAL, INTEGUMEN, PERSEPSI SENSORI DAN PERSARAFAN",4,5,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","CEDERA OLAHRAGA DALAM KEPERAWATAN",3,5,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Ganjil","KEPERAWATAN GAWAT DARURAT",4,5,"Wajib"
"Universitas Negeri Surabaya","Keperawatan","Genap","KEPERAWATAN ANAK SAKIT KRONIS DAN TERMINAL",2,6,"Wajib"
