universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Kimia","Ganjil","BIOLOGI UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","DASAR-DASAR KIMIA ANALISIS",3,1,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","FILSAFAT IPA",2,1,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","FISIKA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","KIMIA DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","MATEMATIKA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","KIMIA KUANTUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","PENDIDIKAN JASMANI DAN OLAH RAGA",2,1,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","DASAR-DASAR PEMISAHAN KIMIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","KONSERVASI SDAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","SENYAWA ORGANIK MONOFUNGSI",3,2,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","TEORI DASAR ANORGANIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","TERMODINAMIKA KIMIA",3,2,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","KINETIKA KIMIA",3,3,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","METODE SPEKTROSKOPI DAN KROMATOGRAFI",3,3,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","BAHASA INGGRIS",2,3,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","KIMIA KOORDINASI",2,3,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","PRAKTIKUM KIMIA ORGANIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","SENYAWA ORGANIK POLIFUNGSI",3,3,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","STATISTIKA",2,3,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","STRUKTUR DAN FUNGSI BIOMOLEKUL",2,3,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","KIMIA INDUSTRI",2,4,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","KIMIA UNSUR",3,4,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","METODOLOGI PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","MIKROBIOLOGI",2,4,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","PRAKTIKUM BIOKIMIA",2,4,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","KIMIA KOMPUTASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","KIMIA PANGAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","METABOLISME DAN ALIRAN INFORMASI GENETIK",3,4,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","PENGEMBANGAN KARIR",2,4,"Wajib"
"Universitas Negeri Surabaya","Kimia","Genap","PRAKTIKUM KIMIA ANORGANIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","ORGANISASI LABORATORIUM",2,5,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","PENENTUAN STRUKTUR MOLEKUL",2,5,"Wajib"
"Universitas Negeri Surabaya","Kimia","Ganjil","KIMIA PERMUKAAN",2,7,"Wajib"
