universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","SOSIOLOGI OLAHRAGA",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","PENGANTAR EKONOMI MIKRO OLAHRAGA",3,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","PENGANTAR ILMU OLAHRAGA DAN ORGANISASI",3,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","PENGANTAR INDUSTRI OLAHRAGA",3,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","SARANA DAN FASILITAS KEGIATAN MANAJEMEN OLAHRAGA",3,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Genap","GLOBAL SPORT AND TOURISM MARKETING",3,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Genap","KOMUNIKASI BISNIS OLAHRAGA",3,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Genap","MANAJEMEN OLAHRAGA AIR",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Genap","MANAJEMEN OLAHRAGA INDIVIDU",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Genap","MANAJEMEN SDM DAN KEPEMIMPINAN OLAHRAGA",3,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Genap","PENGANTAR EKONOMI MAKRO OLAHRAGA",3,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","BRANDING DAN SPONSORSHIP OLAHRAGA",3,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","MANAJEMEN OLAHRAGA BELADIRI",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","MANAJEMEN OLAHRAGA MASYARAKAT",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","MANAJEMEN OLAHRAGA PERMAINAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","SPONSHORSHIP DAN REVENUE DEVELOPMENT",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","TATAKELOLA KEUANGAN MANAJEMEN OLAHRAGA",3,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","TEKNOLOGI OLAHRAGA",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","MANAJEMEN E-SPORT",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen Olahraga","Ganjil","PENGANTAR PERENCANAAN BISNIS KEOLAHRAGAAN",3,3,"Wajib"
