universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Manajemen Pendidikan","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Ganjil","FILSAFAT MANAJEMEN PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Ganjil","ILMU PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Ganjil","PSIKOLOGI PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Ganjil","TEKNIK PENULISAN KARYA ILMIYAH",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Ganjil","DASAR-DASAR MANAJEMEN PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Ganjil","ORGANISASI PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Ganjil","PENDIDIKAN INKLUSI",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Genap","KEWIRAUSAHAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Genap","MANAJEMEN PENDIDIK DAN TENAGA KEPENDIDIKAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Genap","MANAJEMEN SARANA DAN PRASARANA",3,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen Pendidikan","Genap","MANAJEMEN HUMAS",3,2,"Wajib"
