universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Manajemen","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","MATEMATIKA EKONOMI",3,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","PENGANTAR AKUNTANSI",3,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","PENGANTAR BISNIS",3,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","PENGANTAR MANAJEMEN",3,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","PENGANTAR TEORI EKONOMI",3,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","STATISTIK I",3,1,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","BISNIS INTERNASIONAL",3,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","AKUNTANSI BIAYA",3,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","EKONOMI MONETER",3,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","STATISTIK II",3,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","TEORI EKONOMI MAKRO",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","TEORI EKONOMI MIKRO",2,2,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","MANAJEMEN KEUANGAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","MANAJEMEN OPERASIONAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","MANAJEMEN PEMASARAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","OPERASIONAL RESEARCH",3,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","EKONOMI MANAJERIAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","MANAJEMEN SDM",3,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","PRAKTIK KOMPUTER",2,3,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","E-COMMERCE",3,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","METODOLOGI PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","AKUNTANSI MANAJEMEN",3,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","BAHASA INGGRIS",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","ETIKA BISNIS",3,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","PERILAKU ORGANISASI",3,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","PERPAJAKAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","PSIKOLOGI INDUSTRI",2,4,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","KKN ANALISA LAPORAN KEUANGAN",3,5,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Ganjil","KKN ANGGARAN PERUSAHAAN",3,5,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Ganjil","KKN KEPEMIMPINAN STRATEGIK",3,5,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Ganjil","KKN MANAJEMEN K3",3,5,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Ganjil","KKN MANAJEMEN PENJUALAN",3,5,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Ganjil","KKN PRAKTIK KEWIRAUSAHAAN",2,5,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Ganjil","KKN SISTEM INFORMASI MANAJEMEN",3,5,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Ganjil","LITERASI DIGITAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Ganjil","STUDI KELAYAKAN BISNIS",3,5,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Genap","MPK-HUKUM BISNIS",2,6,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Genap","MPK-MANAJEMEN INVESTASI",3,6,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Genap","MPK-MANAJEMEN RISIKO",3,6,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Genap","MPK-MANAJEMEN STRATEGIK",3,6,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Genap","PRAKTIK KOMUNIKASI BISNIS",3,6,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Genap","MPK-RISET PEMASARAN",3,6,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Genap","MPK-MANAJEMEN KINERJA",3,6,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Genap","MPK-MANAJEMEN PERUBAHAN",2,6,"Pilihan"
"Universitas Negeri Surabaya","Manajemen","Ganjil","KOMUNIKASI PEMASARAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","MANAJEMEN KEUANGAN INTERNASIONAL",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","MANAJEMEN KEUANGAN LANJUTAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","MANAJEMEN PELATIHAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","MSDM GLOBAL",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","ERGONOMI",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","LEMBAGA KEUANGAN DAN PASAR MODAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","MANAJEMEN PERBANKAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","PEMASARAN INTERNASIONAL",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","PEMASARAN JASA",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","PERENCANAAN SDM",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","PERILAKU KONSUMEN",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","PERUBAHAN DAN PEMBELAJARAN ORGANISASI",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","SEMINAR PROPOSAL TUGAS AKHIR",2,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Ganjil","STRATEGI PEMASARAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Manajemen","Genap","TUGAS AKHIR",4,8,"Wajib"
