universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Masase","Ganjil","FISIKA",2,1,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","MASASE DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Islam",2,1,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","BIOKIMIA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","BIOLOGI MANUSIA",3,1,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","FILSAFAT ILMU",2,2,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","FISIOLOGI MANUSIA",3,2,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","ILMU GIZI",3,2,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","PEDAGOGI MASASE",2,2,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","ANATOMI UMUM",3,2,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","TERAPI AQUATIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","BIOMEKANIKA DASAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","MASASE MUSCULOSKELETAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","MUSCLE TESTING",3,3,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","ORTHOPEDI DASAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","PENCEGAHAN DAN PERAWATAN CEDERA",3,3,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","TEKNOLOGI DAN APLIKASI MASASE",3,3,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","TERAPI SPA DAN BEAUTY MASSAGE",3,3,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","TES DAN PENGUKURAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","DEEP TISSUE MASSAGE",3,4,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","EVALUASI PROGRAM MASASE",2,4,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","FARMAKOLOGI DASAR",2,4,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","HISTOLOGI",2,4,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","KINESIOLOGI",2,4,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","MASASE NEUROMUSKULAR",3,4,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","PATOLOGI MASASE",2,4,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","TAPING",3,4,"Wajib"
"Universitas Negeri Surabaya","Masase","Genap","TERAPI LATIHAN DASAR",3,4,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","ETIKA LAYANAN",2,5,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","EVALUASI PROGRAM KERJA",3,5,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","LAPORAN PKL",4,5,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","METODOLOGI PENELITIAN",3,5,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","PENDAMPINGAN KERJA DI DUNIA USAHA DAN INDUSTRI (DUDI)",3,5,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","PRAKTIK KERJA DI DUNIA USAHA DAN INDUSTRI",3,5,"Wajib"
"Universitas Negeri Surabaya","Masase","Ganjil","SEMINAR HASIL EVALUASI PROGRAM",3,5,"Wajib"
