universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Matematika","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","BAHASA PEMROGRAMAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","DASAR-DASAR MATEMATIKA",3,1,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","KALKULUS DIFERENSIAL",4,1,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","KONSEP DASAR IPA",2,1,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","METODE STATISTIKA",3,1,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Matematika","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Matematika","Genap","ALJABAR LINIER ELEMENTER",4,2,"Wajib"
"Universitas Negeri Surabaya","Matematika","Genap","KALKULUS INTEGRAL",4,2,"Wajib"
"Universitas Negeri Surabaya","Matematika","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Matematika","Genap","KONSERVASI SUMBER DAYA ALAM",2,2,"Wajib"
"Universitas Negeri Surabaya","Matematika","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Matematika","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Matematika","Genap","TEORI BILANGAN ELEMENTER",2,2,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","KALKULUS PEUBAH BANYAK",4,3,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","KOMPUTASI MATEMATIKA",2,3,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","ANALISIS REAL I",2,3,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","GEOMETRI ANALITIK",3,3,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","MATEMATIKA DISKRIT",3,3,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","PEMROGRAMAN DAN ALGORITMA",2,3,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","PERSAMAAN DIFERENSIAL BIASA",3,3,"Wajib"
"Universitas Negeri Surabaya","Matematika","Ganjil","RISET OPERASI",3,3,"Wajib"
"Universitas Negeri Surabaya","Matematika","Genap","STATISTIKA MATEMATIKA",3,4,"Wajib"
