universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Musik","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Musik","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Musik","Ganjil","METODE KELAS MUSIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Musik","Ganjil","PSIKOLOGI MUSIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Musik","Ganjil","SEJARAH MUSIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Musik","Ganjil","SOLFEGIO",2,1,"Wajib"
"Universitas Negeri Surabaya","Musik","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Musik","Ganjil","BAND",3,1,"Wajib"
"Universitas Negeri Surabaya","Musik","Ganjil","INSTRUMEN POKOK TINGKAT INDRIA",3,1,"Wajib"
"Universitas Negeri Surabaya","Musik","Ganjil","TEORI MUSIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Musik","Genap","INSTRUMEN POKOK TINGKAT MUDA",3,2,"Wajib"
"Universitas Negeri Surabaya","Musik","Genap","KAJIAN PEDAGOGIK MUSIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Musik","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Musik","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Musik","Genap","SOFTWARE NOTASI MUSIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Musik","Genap","STATISTIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Musik","Genap","AKUSTIK ORGANOLOGI",2,2,"Wajib"
"Universitas Negeri Surabaya","Musik","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Musik","Genap","DIREKSI",2,2,"Wajib"
"Universitas Negeri Surabaya","Musik","Genap","HARMONI",2,2,"Wajib"
"Universitas Negeri Surabaya","Musik","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
