universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pariwisata","Ganjil","BAHASA MANDARIN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","PENGANTAR PARIWISATA DAN HOSPITALITI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","PSIKOLOGI PARIWISATA",3,1,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","ETIKA ESTETIKA PROFESI PARIWISATA",3,1,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","HUKUM DAN KEBIJAKAN PARIWISATA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","KESEHATAN DAN KESELAMATAN KERJA (K3)",2,1,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","BAHASA INGGRIS TERAPAN PARIWISATA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","BAHASA JEPANG",2,2,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","GEOGRAFI PARIWISATA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","STATISTIK PARIWISATA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","KOMUNIKASI BISNIS PARIWISATA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","MANAJEMEN DESTINASI WISATA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","MANAJEMEN PARIWISATA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","MANAJEMEN FRONT OFFICE",3,3,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","TARIF & DOKUMEN PASASI",3,3,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","TOURISM LEADERSHIP",3,3,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","BAHASA PERANCIS",2,3,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","HOUSEKEEPING*",3,3,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","MANAJEMEN DESTINASI PARIWISATA LANJUTAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","MANAJEMEN SUMBER DAYA MANUSIA",3,3,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","MANAJEMEN TATA HIDANG",3,3,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","PEMANDUAN WISATA (TOUR GUIDE)",4,4,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","PEMASARAN DIGITAL PARIWISATA",3,4,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","PERENCANAAN DAN PENGELOLAAN PERJALANAN WISATA",4,4,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","GASTRONOMI JAWA TIMUR*",3,4,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","MANAJEMEN KEUANGAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","MANAJEMEN MAKANAN DAN MINUMAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Genap","METODE PENELITIAN PARIWISATA",3,4,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","MAGANG -MANAJEMEN OPERASIONAL",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","MAGANG -DESAIN PROGRAM",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","MAGANG -PELAKSANAAN PROGRAM",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","MAGANG -PELAPORAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","MAGANG -PENDISEMINASIAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","MAGANG -PENILAIAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pariwisata","Genap","KEGIATAN WIRAUSAHA/STUDI INDEPENDEN/PROYEK DI DESA/PENELITIAN-RISET/PERTUKARAN MAHASISWA",20,6,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","MANAJEMEN EVENT PARIWISATA (MICE)*",3,7,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","PARIWISATA BERBASIS MASYARAKAT (CBT)*",2,7,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","PARIWISATA RELIGI, SPIRITUAL DAN ZIARAH*",2,7,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","PARIWISATA SEJARAH DAN BUDAYA*",2,7,"Wajib"
"Universitas Negeri Surabaya","Pariwisata","Ganjil","MITIGASI BENCANA PARIWISATA*",3,7,"Wajib"
