universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Ganjil","PENGANTAR TEORI EKONOMI",3,1,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Ganjil","TEORI BELAJAR",2,1,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Ganjil","DASAR KEPENDIDIKAN",2,1,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Ganjil","KURIKULUM SEKOLAH",2,1,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Ganjil","PANCASILA",2,1,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Ganjil","PENGANTAR AKUNTANSI",3,1,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Ganjil","PENGANTAR ILMU ADM. DAN MANAJEMEN",3,1,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Genap","KORESPONDENSI BAHASA INDONESIA",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Genap","MANAJEMEN PERKANTORAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Genap","MANAJEMEN SUMBER DAYA MANUSIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Genap","PENGEMBANGAN BAHAN AJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Genap","STRATEGI PEMBELAJARAN ADMINISTRASI PERKANTORAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Genap","EVALUASI BELAJAR DAN PEMBELAJARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Genap","STATISTIKA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Ganjil","MANAJEMEN KEARSIPAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Ganjil","PERILAKU ORGANISASI",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Administrasi Perkantoran","Ganjil","ANALISA SISTEM ADMINISTRASI",2,3,"Wajib"
