universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","LAYANAN LEMBAGA PERBANKAN DAN KEUANGAN MIKRO",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","ETIKA PROFESI, KESELAMATAN, KESEHATAN KERJA, DAN LINGKUNGAN HIDUP (EPK3LH)",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","MATEMATIKA EKONOMI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","PENGANTAR AKUNTANSI",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","PENGANTAR MANAJEMEN DAN BISNIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","PENGANTAR TEORI EKONOMI",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","AKUNTANSI KEUANGAN MENENGAH I",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","STATISTIK EKONOMI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","AKUNTANSI PERBANKAN DAN KEUANGAN MIKRO",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","AKUNTANSI PERBANKAN SYARIAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","PERPAJAKAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","PRAKTIKUM AKUNTANSI PERUSAHAAN JASA DAN DAGANG",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","AKUNTANSI BIAYA",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","AKUNTANSI KEUANGAN MENENGAH II",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","AKUNTANSI SEKTOR PUBLIK",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","PROGRAM PENGOLAH ANGKA",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","STATISTIK PENELITIAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","PENGEMBANGAN BAHAN AJAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","PRAKTIKUM AKUNTANSI PERUSAHAAN MANUFAKTUR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","AKUNTANSI KEUANGAN LANJUTAN",3,4,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","APLIKASI KOMPUTER",3,4,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",2,4,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","PRAKTIKUM AKUNTANSI SEKTOR PUBLIK",2,4,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","LAYANAN LEMBAGA KEUANGAN SYARIAH",2,4,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","MANAJEMEN DAN ANALISIS LAPORAN KEUANGAN",3,4,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","METODOLOGI PENELITIAN",3,4,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Genap","PRAKTIK KEWIRAUSAHAAN",2,4,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","PROYEK DESA EVALUASI PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","PROYEK DESA PERENCANAAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","PROYEK KEMANUSIAAN PERENCANAAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","ASISTENSI MENGAJAR EVALUASI PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Akuntansi","Ganjil","ASISTENSI MENGAJAR PERENCANAAN PROGRAM",2,5,"Pilihan"
