universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","PENGANTAR LINGUISTIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","BAHASA INGGRIS PBSI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","FONOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","KETERAMPILAN BERBICARA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","KETERAMPILAN MENYIMAK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","SEJARAH SASTRA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","TEORI SASTRA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","APRESIASI PROSA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","APRESIASI PUISI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","KETERAMPILAN MEMBACA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","MORFOLOGI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","PSIKOLINGUISTIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","STRATEGI PEMBELAJARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","TEORI BELAJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","APRESIASI DRAMA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","BAHASA INDONESIA UNTUK ANAK BERKEBUTUHAN KHUSUS",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","KRITIK SASTRA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","KURIKULUM SEKOLAH",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","PEMBELAJARAN BIPA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","PSIKOLOGI SASTRA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","SASTRA ANAK",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","SEMANTIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","SINTAKSIS",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Ganjil","STATISTIKA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","ANALISIS WACANA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","EVALUASI BELAJAR DAN PEMBELAJARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MICRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","KETERAMPILAN MENULIS",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","METODE PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","PENGEMBANGAN BAHAN AJAR DAN MEDIA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","PENULISAN KARYA ILMIAH",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Indonesia","Genap","PERENCANAAN PEMBELAJARAN",2,4,"Wajib"
