universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","MENULIS JAWA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","PENGANTAR LINGUISTIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","SENI KARAWITAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","SENI TEMBANG DOLANAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","TEORI SASTRA JAWA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","DASAR -DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","FILOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","MENYIMAK JAWA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","MEMBACA JAWA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","MORFOLOGI BAHASA JAWA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","SENI TEMBANG MACAPAT",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","APRESIASI PROSA JAWA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","APRESIASI PUISI JAWA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","FOLKLOR JAWA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","FONOLOGI BAHASA JAWA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","KRITIK SASTRA JAWA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","PERENCANAAN PEMBELAJARAN INOVATIF",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","SASTRA JAWA KUNA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","SASTRA JAWA PESISIRAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","SINTAKSIS BAHASA JAWA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","ANALISIS WACANA BAHASA JAWA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","APRESIASI PEWAYANGAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","BERBICARA JAWA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","JURNALISTIK JAWA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","PENGEMBANGAN BAHAN AJAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","EVALUASI BELAJAR DAN PEMBELAJARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","METODE PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","SOSIOLINGUISTIK BAHASA JAWA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","SOSIOLOGI SASTRA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","STATISTIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","TELAAH NASKAH LAMA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","TRADISI JAWA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","BAHASA INGGRIS",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","SEMANTIK BAHASA JAWA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","LITERASI DIGITAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","PLP-ASESMEN PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","PLP-MANAJEMEN SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","PLP-PENGEMBANGAN BAHAN AJAR",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","PLP-PENGEMBANGAN MEDIA PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","PLP-PENGEMBANGAN PROGRAM SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","PLP-PENGEMBANGAN RENCANA PEMBELAJARAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","PLP-PRAKTIK MENGAJAR",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","PLP-ANALISIS KURIKULUM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","DIALEKTOLOGI",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","DRAMATURGI JAWA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","GENDING JAWA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","LEKSIKOGRAFI JAWA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","LINGUISTIK HISTORIS KOMPARATIF",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","LINGUISTIK TERAPAN JAWA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","PENULISAN KREATIF SASTRA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","PRAGMATIK BAHASA JAWA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","PRANATACARA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","PSIKOLOGI SASTRA JAWA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","SASTRA ANAK JAWA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","SASTRA BANDINGAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","STILISTIKA JAWA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","ARAB PEGON",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Ganjil","KEARIFAN LOKAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","TUGAS AKHIR",4,8,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Dan Sastra Jawa","Genap","SEMINAR PROPOSAL TUGAS AKHIR",2,8,"Wajib"
