universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","ESSENTIAL COMMUNICATION SKILLS",5,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","PRINCIPLES OF EDUCATION",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","ESSENTIAL READING AND WRITING SKILLS",5,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","INTERMEDIATE COMMUNICATION SKILLS",5,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","INTERMEDIATE READING AND WRITING SKILLS",5,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","SCHOOL CURRICULUM FOR 21ST CENTURY",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","THEORIES OF LEARNING",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","INTRODUCTION TO LINGUISTICS",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","INTRODUCTION TO LITERATURE",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","METHODS AND APPROACHES IN ELT",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","RESEARCH METHODS FOR ELT",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","SECOND LANGUAGE ACQUISITION",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","SYLLABUS DESIGN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","ADVANCED COMMUNICATION SKILLS",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","ADVANCED READING AND WRITING SKILLS",4,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","EDUPRENEURSHIP",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","ENGLISH FOR ACADEMIC PURPOSES",4,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","INTERNATIONAL ENGLISH LANGUAGE TESTS",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","INTRODUCTION TO INTERNATIONAL CURRICULA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","MICROTEACHING",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","QUALITATIVE DATA ANALYSIS IN ELT",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","STATISTICS FOR RESEARCH IN ELT",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","TESTING AND ASSESSMENT IN ELT",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","TEYL",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","BAHASA INGGRIS",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Genap","DEVELOPING MATERIALS FOR ELT",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN ASISTENSI MENGAJAR PENDESIMINASIAN PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN ASISTENSI MENGAJAR PENGEMBANGAN LAPORAN",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN ASISTENSI MENGAJAR PERANCANGAN PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN ATAU BENTUK LAIN",20,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN KEWIRAUSAHAAN EVALUASI PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN KEWIRAUSAHAAN PELAKSANAAN PROGRAM",4,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN KEWIRAUSAHAAN PENDESIMINASIAN PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN KEWIRAUSAHAAN PENGEMBANGAN LAPORAN",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK DESA PENGEMBANGAN PERANGKAT",4,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK DESA PERANCANGAN PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK INDPENDEN EVALUASI PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK INDPENDEN PELAKSANAAN PROGRAM",4,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK INDPENDEN PENDESIMINASIAN PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK INDPENDEN PENGEMBANGAN LAPORAN",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK INDPENDEN PENGEMBANGAN PERANGKAT",4,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK INDPENDEN PERANCANGAN PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK KEMANUSIAAN EVALUASI PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK KEMANUSIAAN PERANCANGAN PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN ASISTENSI MENGAJAR EVALUASI PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN ASISTENSI MENGAJAR MENGEMBANGAN PERANGKAT",4,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN ASISTENSI MENGAJAR PELAKSANAAN PROGRAM",4,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN KEWIRAUSAHAAN PENGEMBANGAN PERANGKAT",4,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN KEWIRAUSAHAAN PERANCANGAN PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK DESA EVALUASI PROGRAM",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK DESA PELAKSANAAN PROGRAM",4,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Inggris","Ganjil","KKN PROYEK DESA PENDESIMINASIAN PROGRAM",3,5,"Wajib"
