universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Ganjil","DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Ganjil","SHOKYU CHOKAI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Ganjil","SHOKYU DOKKAI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Ganjil","SHOKYU HANASHIKATA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Ganjil","SHOKYU HYOKI",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Ganjil","SHOKYU NIHONGO",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Genap","SHOCHUKYU CHOKAI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Genap","SHOKYU DOKKAI OYO",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Genap","SHOKYU HANASHIKATA OYO",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Jepang","Genap","SHOKYU HYOKI OYO",2,2,"Wajib"
