universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Ganjil","BM MENULIS DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Ganjil","BAHASA MANDARIN KOMPREHENSIF DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Ganjil","BAHASA MANDARIN MENYIMAK DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Ganjil","BM BERBICARA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Ganjil","BM MEMBACA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Ganjil","DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Genap","BM MENULIS MENENGAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Genap","BM MENYIMAK MENENGAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Genap","LINGUISTIK UMUM",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Genap","BAHASA MANDARIN KOMPREHENSIF MENENGAH",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Genap","BM BERBICARA MENENGAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Genap","BM MEMBACA MENENGAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bahasa Mandarin","Ganjil","PENGENALAN LAPANGAN PERSEKOLAHAN",4,7,"Wajib"
