universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","BIOKIMIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","BIOLOGI UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","DASAR-DASAR PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","FISIKA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","KIMIA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","MATEMATIKA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","BAHASA INGGRIS UNTUK BIOLOGI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","BIOLOGI SEL DAN MOLEKULER",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","BIOSTATISTIK DAN BIOKOMPUTER",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","KEWIRAUSAHAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","KONSERVASI SDAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","STRUKTUR DAN PERKEMBANGAN HEWAN",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","PENGEMBANGAN BAHAN AJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","FISIOLOGI HEWAN",4,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","FISIOLOGI TUMBUHAN",4,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","LITERASI DIGITAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","STRUKTUR DAN PERKEMBANGAN TUMBUHAN",4,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","MIKROBIOLOGI",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","PEMBELAJARAN INOVATIF",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","GENETIKA DAN GENOMIK",4,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","PERENCANAAN PEMBELAJARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","SISTEMATIKA HEWAN",4,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","SISTEMATIKA TUMBUHAN",4,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","EKOLOGI",4,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Genap","METODE PENELITIAN PEND.BIOLOGI",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","ANIMAL ANATOMY",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","ASISTENSI MENGAJAR EVALUASI PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","ASISTENSI MENGAJAR PERENCANAAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","BERPIKIR KRITIS DAN KREATIF",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","BIOLOGI MASYARAKAT",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","BIOTEKNOLOGI",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","COMMUNICATION SKILLS",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","EMPATI DAN KECERDASAN EMOSIONAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","EVOLUSI",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","INTERNASIONAL CONFERENCE",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","INTERNATIONAL CONFERENCE",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","KEPEMIMPINAN INKLUSI",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","KEWARGANEGARAAN",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","KOMUNIKASI DAN KERJA TIM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","KOMUNIKASI INTERPERSONAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","KOMUNIKASI PUBLIK",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","MANAJEMEN EVENT REGIONAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","NATIONAL CONFERENCE",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","PERENCANAAN PROGRAM PEMBERDAYAAN MAYARAKAT",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","PRAKTEK KEWIRAUSAHAAN",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","PROYEK DESA PERENCANAAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","PROYEK DI DESA PERANCANGAN PROGRAM",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","PROYEK KEMANUSIAAN EVALUASI PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","PROYEK KEMANUSIAAN PERENCANAAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","SOFTSKILLS",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","TEKNOLOGI INFORMASI UNTUK PEMBERDAYAAN MASYARAKAT",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","WIRAUSAHA EVALUASI PROGRAM",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","WIRAUSAHA PERANCANGAN PROGRAM",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","ANATOMI FISIOLOGI MANUSIA",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","PEMBELAJARAN EMOSI DAN SOSIAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","PENALARAN BIOLOGI",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Biologi","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,5,"Pilihan"
