universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","DASAR-DASAR PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","KURIKULUM SEKOLAH",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","PENGANTAR AKUNTANSI",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","PENGANTAR BISNIS",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","PENGANTAR TEORI EKONOMI",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","PANCASILA EDUCATION",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","PENGANTAR ILMU ADM. DAN MANAJEMEN",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","MANAJEMEN KEUANGAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","MANAJEMEN SUMBER DAYA MANUSIA",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","MATEMATIKA EKONOMI",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","MANAJEMEN PEMASARAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","PEMASARAN JASA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","STATISTIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","METODE PENELITIAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","PENGEMBANGAN BAHAN AJAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","PERENCANAAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","PERILAKU KONSUMEN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","STATISTIK PENELITIAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","STRATEGI PEMASARAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","KOMUNIKASI BISNIS",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","MANAJEMEN OPERASIONAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","MANAJEMEN STRATEGIK",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","PEMASARAN DIGITAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","PRAKTEK KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","RISET PEMASARAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","SISTEM INFORMASI MANAJEMEN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","BAHASA INGGRIS",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","LITERASI DIGITAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","HUKUM DAN ETIKA BISNIS",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","IMPLEMENTASI PEMBELAJARAN BISNIS",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","PENGEMBANGAN ASESMEN PEMBELAJARAN BISNIS",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","PENGEMBANGAN PERANGKAT PEMBELAJARAN BISNIS",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","PENGEMBANGAN MEDIA PEMBELAJARAN BISNIS",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","PENILAIAN TINDAKAN KELAS",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","PLP EVALUASI PROGRAM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","PLP PERENCANAAN PROGRAM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","SEMINAR PROPOSAL TUGAS AKHIR",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","KEWIRAUSAHAAN GLOBAL",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","KEWIRAUSAHAAN SOSIAL",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","MANAJEMEN RETAIL",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","SALESMANSHIP",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","MANAJEMEN PARIWISATA",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","MANAJEMEN RESIKO",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","PERDAGANGAN INTERNASIONAL",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","PRAKTIK PERNIAGAAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","PUBLIC RELATIONS",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","SEMINAR TUGAS AKHIR",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Ganjil","STUDI KELAYAKAN BISNIS",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Bisnis","Genap","TUGAS AKHIR",4,8,"Wajib"
