universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","KURIKULUM SEKOLAH",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","MATEMATIKA EKONOMI",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","PENGANTAR AKUNTANSI",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","PENGANTAR TEORI EKONOMI MAKRO",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","PENGANTAR TEORI EKONOMI MIKRO",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Genap","EVALUASI BELAJAR DAN PEMBELAJARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Genap","SEJARAH PEMIKIRAN EKONOMI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Genap","TEORI EKONOMI MAKRO",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Genap","TEORI EKONOMI MIKRO",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Genap","PENGEMBANGAN BAHAN AJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Genap","STATISTIKA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Genap","STRATEGI PEMBELAJARAN EKONOMI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","EKONOMI PEMBANGUNAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","EKONOMETRI",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","EKONOMI INTERNASIONAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","EKONOMI MONETER",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","MANAJEMEN KOPERASI",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","PERENCANAAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Ganjil","STATISTIKA PENDIDIKAN EKONOMI",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ekonomi","Genap","EKONOMI PENDIDIKAN",3,4,"Wajib"
