universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","BIOLOGI UMUM",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","KALKULUS UNTUK FISIKA",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","KIMIA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","MEKANIKA DAN TERMODINAMIKA DASAR",4,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","SISTEM PENGUKURAN FISIKA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","KONSERVASI SUMBER DAYA ALAM",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","DERET DAN ALJABAR LINIER UNTUK FISIKA",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","LISTRIK MAGNET DAN OPTIK DASAR",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","LITERASI FISIKA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","FUNGSI KHUSUS UNTUK FISIKA",4,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","GELOMBANG",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","LITERASI DIGITAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","MEKANIKA",4,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","RANGKAIAN ELEKTRONIKA",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","TERMODINAMIKA",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","ELEKTRONIKA",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","EVALUASI BELAJAR DAN PEMBELAJARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","FISIKA MODERN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","LISTRIK MAGNET",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","MEDIA PEMBELAJARAN FISIKA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","METODOLOGI PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","PENGEMBANGAN BAHAN AJAR",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","PERENCANAAN PEMBELAJARAN INOVATIF",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","STATISTIKA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","ANALISIS KURIKULUM FISIKA SEKOLAH",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","APLIKASI STATISTIKA DALAM PENDIDIKAN FISIKA",4,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","BERPIKIR KRITIS DAN KREATIF",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","COMMUNICATION SKILLS",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","FISIKA MASYARAKAT",4,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","FISIKA STATISTIK",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","INTERNASIONAL CONFERENCE",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","IPBA",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","KETERAMPILAN MENGAJAR & PEMBELAJARAN MIKRO",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","NATIONAL CONFERENCE",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","OBSERVASI ASESMEN FISIKA SEKOLAH",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","OBSERVASI MEDIA PEMBELAJARAN FISIKA SEKOLAH",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","PENALARAN FISIKA",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","PENDIDIKAN FISIKA BERKELANJUTAN",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","PRAKTEK KEWIRAUSAHAAN",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","KAPITA SELEKTA PENDIDIKAN FISIKA",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","OBSERVASI PEMBELAJARAN INOVATIF FISIKA SEKOLAH",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","SOCIO-SCIENTIFIC ISSUE (SSI) DI MASYARAKAT",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","PLP PERENCANAAN PROGRAM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","FISIKA SEKOLAH",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","PEMBELAJARAN INOVATIF",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","PENERAPAN MEDIA PEMBELAJARAN FISIKA",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","PLP EVALUASI PROGRAM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","PRAKTEK PENGAJARAN FISIKA",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","PENGEMBANGAN PERANGKAT PEMBELAJARAN FISIKA",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Genap","PENILAIAN HASIL BELAJAR FISIKA",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","ARGUMENTASI FISIKA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","E-LEARNING FISIKA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","FILSAFAT IPA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","FISIKA AUDIOVISUAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","FISIKA INTI",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","FISIKA KUANTUM",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","FISIKA OLIMPIADE",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","FISIKA ZAT PADAT",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","KAJIAN UN, TIMSS, DAN PISA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Fisika","Ganjil","LABORATORIUM FISIKA",2,7,"Wajib"
