universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","ILMU WILAYAH",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","KARTOGRAFI DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","METEOROLOGI -KLIMATOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","PENGANTAR GEOGRAFI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","PENGANTAR SOSIOLOGI DAN ANTROPOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","DASAR PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","GEOLOGI UMUM",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","GEOMORFOLOGI UMUM",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","HIDROLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","BENTANGLAHAN GEOGRAFI",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOGRAFI MANUSIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","ILMU UKUR TANAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","SIG DASAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","TEORI BELAJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","DEMOGRAFI DAN GEOGRAFI PENDUDUK",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOGRAFI TANAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","GEOGRAFI DESA KOTA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","KURIKULUM SEKOLAH",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","METODE PENELITIAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","STATISTIKA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","EKOLOGI & BIOGEOGRAFI",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","PENGEMBANGAN BAHAN AJAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","PENGINDERAAN JAUH DASAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOGRAFI EKONOMI & INDUSTRI",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOGRAFI KEBENCANAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOGRAFI LINGKUNGAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOGRAFI PARIWISATA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOGRAFI PERTANIAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOGRAFI POLITIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","KARTOGRAFI TEMATIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","MANAJEMEN KOTA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","OCEANOGRAFI",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","PERENCANAAN PEMBELAJARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","SIG ANALISIS LANJUT",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","SIG TERAPAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","ANALISIS WILAYAH",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOGRAFI REGIONAL INDONESIA & ASIA TENGGARA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOGRAFI SOSIAL BUDAYA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOGRAFI SUMBERDAYA ALAM",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOGRAFI TRANSPORTASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOLOGI & GEOMORFOLOGI INDONESIA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","GEOMARITIM INDONESIA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","KOTA CERDAS",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Ganjil","LITERASI DIGITAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","PLP-ANALISIS KURIKULUM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","PLP-ASESMEN PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","PLP-MANAJEMEN SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","PLP-PENGEMBANGAN BAHAN AJAR",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","PLP-PENGEMBANGAN MEDIA PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","PLP-PRAKTIK MENGAJAR",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","PLP-PENGEMBANGAN PROGRAM SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Geografi","Genap","PLP-PENGEMBANGAN RENCANA PEMBELAJARAN",3,6,"Wajib"
