universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Ganjil","ASESMEN",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Ganjil","PENDIDIKAN INKLUSI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Ganjil","BERMAIN",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Ganjil","KONSEP DASAR BAHASA DAN STUDI SOSIAL ANAK USIA DINI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Ganjil","KONSEP DASAR KURIKULUM DAN PEMBELAJARAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Ganjil","KONSEP MANAJEMEN PENYELENGGARAAN PAUD",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Genap","PERKEMBANGAN PESERTA DIDIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Genap","KARYA TUGAS ILMIAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Genap","KONSEP DASAR MORAL AGAMA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Genap","KONSEP DASAR PAUD",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Pendidikan Anak Usia Dini","Genap","KONSEP DASAR SAINS DAN MATEMATIKA ANAK USIA DINI",2,2,"Wajib"
