universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","BILANGAN DAN PENGOLAHAN DATA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","DASAR -DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","KAJIAN KEBAHASAAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","KONSEP DASAR IPS SD",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","PENDIDIKAN KARAKTER DAN BUDIPEKERTI",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","PSIKOLOGI PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Genap","APRESIASI SASTRA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Genap","KURIKULUM SEKOLAH DASAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Genap","PENDIDIKAN INKLUSIF",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Genap","PENGEMBANGAN DIMENSI IPS SD",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Genap","GEOMETRI DAN PENGUKURAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Genap","KONSEP DASAR IPA",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","BIMBINGAN DI SD",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","KETERAMPILAN BERPIKIR MATEMATIS",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","KONSEP DASAR PKN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Guru Sekolah Dasar","Ganjil","INOVASI MEDIA PEMBELAJARAN DI SD",2,3,"Wajib"
