universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","STUDI KEBUDAYAAN DAN MASYARAKAT INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","DASAR -DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","FILSAFAT PENDIDIKAN IPS",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","GEOGRAFI INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","KONSEP DASAR IPS",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","PENGANTAR ILMU-ILMU SOSIAL",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","PEREKONOMIAN INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","SEJARAH POLITIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","STUDI PEMBANGUNAN EKONOMI",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","TEORI BELAJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","DASAR-DASAR PENDIDIKAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","GEOGRAFI REGIONAL DUNIA",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","PERUBAHAN DAN PATOLOGI SOSIAL",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","SEJARAH EKONOMI",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","STATISTIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","LITERASI KEPENDUDUKAN DAN PEMBERDAYAAN KELUARGA",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","LITERASI KEUANGAN DAN INVESTASI",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","LITERASI PETA DAN BERPIKIR SPASIAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","PENGEMBANGAN BAHAN AJAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","PERENCANAAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","SEJARAH SOSIAL DAN BUDAYA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","METODE PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","INOVASI PEMBELAJARAN IPS",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","KAJIAN ISU-ISU EKONOMI GLOBAL",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","KAJIAN PENDIDIKAN KARAKTER DAN MULTIKULTURAL",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","KAJIAN PENDIDIKAN LINGKUNGAN DAN MITIGASI BENCANA",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","KAJIAN SEJARAH LOKAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Genap","PERKULIAHAN LUAR KELAS",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","PEMBELAJARAN EMOSI DAN SOSIAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","BAHASA INGGRIS",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","BERPIKIR KRITIS DAN KREATIF",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","EMPATI DAN KECERDASAN EMOSIONAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Ips","Ganjil","KEPEMIMPINAN INKLUSI",2,5,"Pilihan"
