universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","ANATOMI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","ATLETIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","RENANG",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","DASAR-DASAR PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","PENCAK SILAT",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","SENAM",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","SEPAK BOLA",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","BIOMEKANIK OLAHRAGA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","BOLA BASKET",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","BOLA VOLI",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","BULUTANGKIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","FISIOLOGI OLAHRAGA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","SOFTBALL",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","SOSIOLOGI OLAHRAGA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","BAHASA INGGRIS",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","BELAJAR MOTORIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","KURIKULUM SEKOLAH",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","PENCEGAHAN DAN PERAWATAN CIDERA OR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","PENJASOR ADAPTIF",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","PERMAINAN KECIL",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","TES DAN PENGUKURAN PENDIDIKAN JASMANI",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","ILMU GIZI OLAHRAGA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","TENIS LAPANGAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","TENIS MEJA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Ganjil","TEORI BELAJAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","METODOLOGI PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","PEMBELAJARAN AKUATIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","PEMBELAJARAN ATLETIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","PEMBELAJARAN MIKRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","PENGEMBANGAN BAHAN AJAR",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","PERENCANAAN PEMBELAJARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Jasmani Kesehatan  Rekreasi","Genap","PSIKOLOGI OLAHRAGA",2,4,"Wajib"
