universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Ganjil","KETERAMPILAN DASAR ATLETIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Ganjil","KETERAMPILAN DASAR PENCAK SILAT",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Ganjil","ANATOMI TUBUH MANUSIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Ganjil","DASAR -DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Ganjil","KETERAMPILAN DASAR RENANG",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Ganjil","KETERAMPILAN DASAR SENAM",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Ganjil","KEWARGANEGARAAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA MENEMBAK",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA MMA",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA MUAY THAI",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAH RAGA SEPATU RODA",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA SOFTBALL/BASE BALL",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA TAE KWON DO",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA TARUNG DERAJAT",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEWIRAUSAHAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KONDISI FISIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","FISIOLOGI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","FISIOLOGI OLAHRAGA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA ANGGAR",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA ANGKAT BESI/BERAT DAN BINARAGA",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA AQUATIC",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA ARUM JERAM",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA ATLETIK",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA BALAP SEPEDA",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA BERKUDA",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA BOLA BASKET",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA BOLA TANGAN",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA BOLA VOLI",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA BULUTANGKIS",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA DAYUNG",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA DRAGONSHOT",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA FLOOR BALL",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA FUTSAL",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA GATEBALL",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA GULAT",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA HOKI",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAH RAGA JIU JITSU",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAH RAGA JUDO",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA KARATE",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA KEMPO",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA KICK BOXING",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA LONCAT INDAH",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA PANAHAN",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA PANJAT TEBING",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA PENCAK SILAT",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA PENTAQUE",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAH RAGA PENTATHLON, TRIATHLON",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA PICKLEBALL",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kepelatihan Olahraga","Genap","KEPELATIHAN CABANG OLAHRAGA RENANG",4,2,"Wajib"
