universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","APLIKASI KOMPUTER",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","DASAR DESAIN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","STRATEGI PEMBELAJARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","KIMIA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","AC MOBIL",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","MATEMATIKA TERAPAN *",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","DASAR SENI DAN DESAIN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","DASAR GRAHA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","DAPUR DAN PERALATAN PRODUKSI",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","DASAR BOGA",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","ILMU KESEJAHTERAAN KELUARGA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","KESEHATAN DAN KESELAMATAN KERJA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","MATEMATIKA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","FISIKA TERAPAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","MANAJEMEN BUSANA TAILORING",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","BAHASA INDONESA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","KIMIA TERAPAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","ILMU BUDAYA DASAR (IBD)",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","SEJARAH PAKAIAN INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Ganjil","MENGGAMBAR MODE",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","TEKNIK MENJAHIT",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","KONSTRUKSI POLA BUSANA",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","DASAR MANAJEMEN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","ANATOMI FISIOLOGI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","APRESIASI MENGHIAS KAIN",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","PERAWATAN KULIT & TATA RIAS WAJAH",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","PERKEMBANGAN MODE",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","PROD MAKANAN ORIENTAL",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","PRODUKSI MAKANAN INDONESIA",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","DASAR BUSANA",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","FISIKA DASAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","MIKROBIOLOGI PANGAN*",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","TATA RIAS WAJAH",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","TEKNOLOGI MENJAHIT",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","DESAIN MODE",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","BAHASA INGGRIS I",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kesejahteraan Keluarga","Genap","PERAWATAN DAN TATA RIAS RAMBUT",3,2,"Wajib"
