universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Kimia","Ganjil","BIOLOGI UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Ganjil","DASAR DASAR KIMIA ANALITIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Ganjil","FISIKA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Ganjil","MATEMATIKA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Ganjil","DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Ganjil","KIMIA DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Genap","KONSERVASI SDAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Genap","PERENCANAAN PEMBELAJARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Genap","DASAR-DASAR PEMISAHAN KIMIA",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Genap","EVALUASI BELAJAR DAN PEMBELAJARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Genap","KIMIA KUANTUM",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Genap","PENGEMBANGAN BAHAN AJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Ganjil","LITERASI DIGITAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Kimia","Ganjil","METODE SPEKTROSKOPI DAN KROMATOGRAFI",3,3,"Wajib"
