universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","ILMU PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","KEWIRAUSAHAAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","ORTOPEDAGOGIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","PSIKOLOGI PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","SISTEM PEMROSESAN INFORMASI PADA ANAK BERKEBUTUHAN KHUSUS",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Genap","BINA BICARA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Genap","IDENTIFIKASI DAN ASESMEN ANAK BERKEBUTUHAN KHUSUS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Genap","BIMBINGAN KONSELING ANAK BERKEBUTUHAN KHUSUS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Genap","BRAILLE",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Genap","PEMBELAJARAN ANAK DENGAN DISABILITAS MAJEMUK",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Genap","PERENCANAAN PEMBELAJARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","MEDIA PEMBELAJARAN ANAK BERKEBUTUHAN KHUSUS",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","METODE PENELITIAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","PEMBELAJARAN SAINSMAT BAGI ANAK BERKEBUTUHAN KHUSUS",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","PENDIDIKAN INKLUSIF",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","PENGEMBANGAN BAHAN AJAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","PENGEMBANGAN KECAKAPAN HIDUP SEHARI-HARI",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Biasa","Ganjil","PROGRAM PEMBELAJARAN INDIVIDUAL",2,3,"Wajib"
