universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","IDENTIFIKASI KEBUTUHAN DAN SUMBER BELAJAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","ILMU PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","KEPEMIMPINAN DAN ORGANISASI SOSIAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","PENDIDIKAN KESEHATAN MASYARAKAT",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","PENDIDIKAN SEPANJANG HAYAT",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","PSIKOLOGI PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","SOSIOLOGI-ANTROPOLOGI PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","TEORI DASAR PNF",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Genap","KEPROFESIAN PENDIDIKAN NON FORMAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Genap","PENDIDIKAN INKLUSIF",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Genap","PENDIDIKAN NON FORMAL PERBANDINGAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Genap","FILSAFAT PNF",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Genap","PSIKOLOGI SOSIAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Genap","STRATEGI DAN METODE PEMBELAJARAN PNF",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Genap","TEORI BELAJAR DAN PEMBELAJARAN PNF",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Genap","TEORI PENDIDIKAN KRITIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","KOMUNIKASI SOSIAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","LITERASI DIGITAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","PENDIDIKAN KELUARGA DAN PARENTING",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","PENDIDIKAN MASYARAKAT",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Luar Sekolah","Ganjil","ANDRAGOGI",3,3,"Wajib"
