universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","DASAR-DASAR MATEMATIKA",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","DASAR-DASAR PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","KALKULUS DIFERENSIAL",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","KONSEP DASAR IPA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","PEMROGRAMAN VISUAL",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Islam    -  Agama Katholik    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","GEOMETRI",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","KALKULUS INTEGRAL",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","KONSERVASI SUMBER DAYA ALAM",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","TEORI BILANGAN ELEMENTER",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","ALJABAR LINEAR ELEMENTER",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","MATEMATIKA SEKOLAH",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","MEDIA PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","PEMBELAJARAN INOVATIF",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","PEMECAHAN MASALAH",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","PSIKOLOGI PEMBELAJARAN MATEMATIKA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","STATISTIKA",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","EVALUASI BELAJAR DAN PEMBELAJARAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","GEOMETRI TRANSFORMASI",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","KALKULUS PEUBAH BANYAK",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","PENALARAN DAN PEMBUKTIAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","PERENCANAAN PEMBELAJARAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","PERSAMAAN DIFERENSIAL BIASA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","RISET OPERASI",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","SEJARAH DAN ETNOMATEMATIKA",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","BAHASA INGGRIS",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","E-LEARNING",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","KEWIRAUSAHAAN",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","KOMUNIKASI PUBLIK",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","LITERASI DIGITAL",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","MOBILITAS AKADEMIK",6,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","MOBILITAS AKADEMIK: EVALUASI PROGRAM",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Ganjil","MOBILITAS AKADEMIK: RENCANA PROGRAM",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","ANALISIS BAHAN AJAR",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","ANALISIS KURIKULUM SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","PENGEMBANGAN ASESMEN PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","PENGEMBANGAN MEDIA PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","PENGEMBANGAN RENCANA PEMBELAJARAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Matematika","Genap","PLP EVALUASI PROGRAM",2,6,"Wajib"
