universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Ganjil","ANTROPOLOGI BUDAYA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Ganjil","DASAR -DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Ganjil","KONSEP DASAR PKN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Ganjil","KURIKULUM SEKOLAH",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Ganjil","LOGIKA BERPIKIR ILMIAH",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Ganjil","PENGANTAR HUKUM INDONESIA (PHI)",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Ganjil","PENGANTAR ILMU HUKUM (PIH)",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Ganjil","PENGANTAR SOSIOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Ganjil","POLITIK DAN NEGARA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Genap","HUKUM PERDATA DAN ACARA PERDATA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Genap","HUKUM PIDANA DAN ACARA PIDANA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Genap","SEJARAH KEBANGSAAN INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Genap","SISTEM POLITIK INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Genap","STATISTIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Genap","TEORI BELAJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Genap","TEORI MORAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Genap","TEORI SOSIAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Pancasila Dan Kewarganegaraan","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
