universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","BIOLOGI UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","FILSAFAT PENDIDIKAN IPA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","KIMIA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","DASAR -DASAR KEPENDIDIKAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","FISIKA UMUM",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","MATEMATIKA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","DASAR-DASAR IPA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Genap","KEANEKARAGAMAN MAKHLUK HIDUP",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Genap","PSIKOLOGI PENDIDIKAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Genap","BIOFISIKA",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Genap","TEORI BELAJAR",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Genap","ETNOSAINS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Genap","MATEMATIKA IPA",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","ANATOMI DAN FISIOLOGI MAKHLUK HIDUP",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","GELOMBANG DAN OPTIK",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","PENGELOLAAN DAN KESELAMATAN KERJA LABORATORIUM",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","TELAAH KURIKULUM SEKOLAH",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","EKOLOGI",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sains","Ganjil","DASAR-DASAR BIOKIMIA",3,3,"Wajib"
