universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","KURIKULUM SEKOLAH",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","SEJARAH AFRIKA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","SEJARAH PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","DASAR-DASAR ILMU SEJARAH",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","DASAR-DASAR PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","SEJARAH EROPA-AMERIKA",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","SEJARAH INDONESIA MASA PRA AKSARA DAN HINDU BUDHA",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","BAHASA BELANDA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","SEJARAH ASIA TIMUR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","SEJARAH MARITIM",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","ILMU POLITIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PENGEMBANGAN BAHAN AJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PERENCANAAN PEMBELAJARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","SEJARAH INDONESIA MASA ISLAM",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","TEORI SOSIAL BUDAYA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","METODOLOGI SEJARAH",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","SEJARAH ASIA BARAT",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","SEJARAH ASIA SELATAN DAN TENGGARA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","SEJARAH LOKAL DAN KEBUDAYAAN INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","SEJARAH SOSIAL EKONOMI",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","FILSAFAT SEJARAH",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","SEJARAH INDONESIA MASA KOLONIAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","STATISTIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","ARKEOLOGI",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","METODE PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","METODE SEJARAH",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","SEJARAH PUBLIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","SEJARAH AUSTRALIA DAN OCEANIA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","SEJARAH INDONESIA MASA KEMERDEKAAN SAMPAI REFORMASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","SEJARAH INDONESIA MASA PERGERAKAN NASIONAL",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","SEJARAH INTELEKTUAL",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","ASISTENSI MENGAJAR EVALUASI PROGRAM",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","ASISTENSI MENGAJAR MENGEMBANGAN PERANGKAT",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","ASISTENSI MENGAJAR PENDESIMINASIAN PROGRAM",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","ASISTENSI MENGAJAR PERENCANAAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","MPK-DESAIN PROGRAM",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","MPK-KESELAMATAN DAN KESEHATAN KERJA",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","MPK-MANAJEMEN OPERASIONAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","MPK-PELAKSANAAN PROGRAM",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","MPK-PERENCANAAN",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","ASISTENSI MENGAJAR PELAKSANAAN PROGRAM",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","ASISTENSI MENGAJAR PENGEMBANGAN LAPORAN",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","ASISTENSI MENGAJAR PERANCANGAN PROGRAM",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","BAHASA INGGRIS",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","LITERASI DIGITAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","MPK-PELAPORAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","MPK-PENDESIMINASIAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","MPK-PENILAIAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PLP-ANALISIS KURIKULUM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PLP-ASESMEN PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PLP EVALUASI PROGRAM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PLP-MANAJEMEN SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PLP-PENGEMBANGAN BAHAN AJAR",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PLP-PENGEMBANGAN MEDIA PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PLP-PENGEMBANGAN PROGRAM SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PLP PERENCANAAN PROGRAM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PLP-PRAKTIK MENGAJAR",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Genap","PLP-PENGEMBANGAN RENCANA PEMBELAJARAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","MANAJEMEN WISATA BUDAYA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","MEDIA REKAM DAN KEPURBAKALAAN SEJARAH",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","MUSEOLOGI",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","PENGELOLAAN CAGAR BUDAYA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","PERPUSTAKAAN DAN KEARSIPAN SEJARAH",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","SEJARAH AGRARIA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Sejarah","Ganjil","SEJARAH LISAN",2,7,"Wajib"
