universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","ETNOKOREOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","KURIKULUM SEKOLAH",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","SKRIPSI",6,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","TEORI MUSIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","DASAR PRAKTEK PIANO",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","DASAR SENI PERAN REALIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","DASAR TARI JAWA TIMUR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","DRAMATURGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","KARAWITAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","KOMPOSISI TARI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","TEORI BELAJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","DASAR INSTRUMEN PILIHAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","SENI PERAN NON REALIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","DASAR TARI SURAKARTA DAN YOGYAKARTA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","HARMONI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","INSTRUMEN PILIHAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","TARI JAWA TIMUR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","TATA ARTISTIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","ANSAMBEL",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","ARANSEMEN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","BAHASA INGGRIS",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","KEWARGANEGARAAN (MKWU)",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","METODE PENELITIAN DAN PENCIPTAAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","PENGEMBANGAN BAHAN AJAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","PENYUTRADARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","PERENCANAAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","SKRIPSI/KARYA SENI",6,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","TEATER TRADISIONAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","PROPOSAL SKRIPSI",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","TARI JATIM LANJUTAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","TARI SUNDA DAN SUMATRA (TARI NUSANTARA)",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","KOREOGRAFI",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","MANAJEMEN PEMENTASAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","PENULISAN KARYA ILMIAH",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","SOSIOLOGI DAN ANTROPOLOGI SENI",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","STATISTIKA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","TEATER PENDIDIKAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","DRAMA ELEKTRONIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","KAJIAN SENI PERTUNJUKAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","MUSIK PENDIDIKAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","TARI PENDIDIKAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","PERANCANGAN PROGRAM PENGENALAN LAPANGAN PERSEKOLAHAN (PLP)",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","PLP-ANALISIS KURIKULUM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","PLP-ASESMEN PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","PLP-MANAJEMEN SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","PLP-PENGEMBANGAN BAHAN AJAR",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","PLP-PENGEMBANGAN RENCANA PEMBELAJARAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","PLP-PRAKTIK MENGAJAR",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Genap","SEMINAR TUGAS AKHIR",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","CAMPURSARI",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","PENYUTRADARAAN FILM DAN TEATER",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","TEATER DIGITAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","TEKNIK PENULISAN KARYA ILMIAH",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","MUSIK KERONCONG",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","PADUAN SUARA",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","TARI BALI",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","TARI DIGITAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Drama Tari Dan Musik","Ganjil","TUGAS AKHIR",4,7,"Wajib"
