universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","KONSEP PENDIDIKAN SENI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","GAMBAR BENTUK",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","RUPA DASAR 2 D",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","SEJARAH SENI RUPA BARAT",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","GAMBAR RAGAM HIAS",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","GAMBAR PROYEKSI PERSPEKTIF",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","TEORI BELAJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","DASAR-DASAR PENDIDIKAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","SEJARAH SENI RUPA ASIA DAN INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","SKETSA",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","RUPA DASAR 3 D",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","FILSAFAT SENI",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","PENGEMBANGAN BAHAN AJAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","PERENC.PEMBELAJARAN SENI",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","BUDAYA RUPA NUSANTARA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","TINJAUAN SENI RUPA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","SENI RUPA 2 DIMENSI",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","TELAAH KURIKULUM SEKOLAH",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","GAMBAR MODEL",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","SENI RUPA 3 DIMENSI",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","KRIYA KAYU",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","DESAIN GRAFIS",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","KRIYA KERAMIK",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","KRIYA LOGAM",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","METODOLOGI PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","PENDIDIKAN SENI INKLUSI",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","MULTIMEDIA PEMBELAJARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","EVALUASI BELAJAR DAN PEMBELAJARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","KETRAMPILAN MENGAJAR DAN PEMBELAJARAN MICRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","AUDIO VISUAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","KRIYA TEKSTIL",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","SENI LUKIS",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Genap","STATISTIKA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","PENGEMBANGAN KARIER",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","PENGEMBANGAN LAPORAN STUDI INDEPENDEN (MBKM)",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","PENGEMBANGAN LAPORAN PROYEK KEMANUSIAAN (MBKM)",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","IMPLEMENTASI PROGRAM STUDI INDEPENDEN (MBKM)",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","ANALISIS KEBUTUHAN MAGANG (MBKM)",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","ANALISIS KEBUTUHAN PROGRAM PERTUKARAN MAHASISWA (MBKM)",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","ANALISIS KEBUTUHAN PROYEK KEMANUSIAAN (MBKM)",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","ANALISIS KEBUTUHAN STUDI INDEPENDEN (MBKM)",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","IMPLEMENTASI PROGRAM WIRAUSAHA (MBKM)",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","PENGEMBANGAN LAPORAN PROYEK DESA (MBKM)",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Seni Rupa","Ganjil","PENGEMBANGAN LAPORAN PROGRAM MAGANG (MBKM)",4,5,"Pilihan"
