universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","DASAR BOGA",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","MATEMATIKA KULINER",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","PENGETAHUAN BAHAN MAKANAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","SANITASI HIGIENE DAN K3",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","DASAR -DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","ILMU KESEJAHTERAAN KELUARGA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","KIMIA PANGAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","KUE DAN MINUMAN INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","MAKANAN WESTERN",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","MANAJEMEN DAPUR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","ILMU GIZI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","SENI KULINER",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","TEORI BELAJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","APLIKASI KOMPUTER",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","CAKE DAN PASTRY",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","LITERASI DIGITAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","MAKANAN ASIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","MAKANAN INDONESIA",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","PERENCANAAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","ETIKA PROFESI DAN KOMUNIKASI",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","OLAHAN COKLAT DAN GULA*)",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","PENGEL KUE DAN MINUMAN INDONESIA",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","PENGEMBANGAN BAHAN AJAR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","BAKERY",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","EVALUASI SENSORI",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","MANAJEMEN USAHA BOGA",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","METODOLOGI PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","PENGELOLAAN LAB BIDANG STUDI",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","STATISTIKA",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","TATA HIDANG",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","TEKNOLOGI PANGAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","ANALISIS KURIKULUM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","MANAJEMEN SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","PENGEMBANGAN MEDIA PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","PENGEMBANGAN RENCANA PEMBELAJARAN BIDANG BOGA",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","PLP PERENCANAAN PROGRAM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","PRAKTEK MENGAJAR TERBIMBING",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","EVALUASI PROGRAM PENGENALAN LAPANGAN PERSEKOLAHAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","PENGEMBANGAN ASESMEN PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","PENGEMBANGAN BAHAN AJAR BIDANG BOGA",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","CIPTA KARYA BOGA",4,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","FUSHION FOOD",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","HALAL FOOD",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","SEMINAR PROPOSAL SKRIPSI",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","PENGEMBANGAN KARIER",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Ganjil","SOSIO BUDAYA MAKANAN*)",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Boga","Genap","TUGAS AKHIR",4,8,"Wajib"
