universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Ganjil","DASAR BUSANA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Ganjil","DASAR -DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Ganjil","DASAR DESAIN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Ganjil","DASAR TEKNIK MENJAHIT",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Ganjil","IKK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Ganjil","ILMU TEKSTIL",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Ganjil","KONSTRUKSI POLA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Ganjil","MANAJEMEN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Ganjil","PANCASILA EDUCATION",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Ganjil","SEJARAH PERKEMBANGAN MODE BUSANA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Genap","ANALISIS POLA BUSANA",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Genap","PENDIDIKAN AGAMA KRISTEN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Genap","TEORI BELAJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Genap","DESAIN MODE",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Genap","DRAPING",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Busana","Genap","TEKNOLOGI MENJAHIT",3,2,"Wajib"
