universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","DASAR-DASAR PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PANCASILA EDUCATION",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PENGANTAR AKUNTANSI",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PENGANTAR BISNIS",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PENGANTAR ILMU ADMINISTRASI DAN MANAJEMEN",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PENGANTAR TEORI EKONOMI",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","BAHASA INGGRIS BISNIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","HUKUM BISNIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","MANAJEMEN PEMASARAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","MATEMATIKA EKONOMI",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","PEMASARAN JASA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","TEORI BELAJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","KEWIRAUSAHAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","KURIKULUM SEKOLAH",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","MANAJEMEN KEUANGAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","MANAJEMEN SUMBER DAYA MANUSIA",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","METODOLOGI PENELITIAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PERENCANAAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PERILAKU KONSUMEN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","STATISTIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","ASESMEN DAN PROSES HASIL BELAJAR",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","MANAJEMEN OPERASIONAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","PENGEMBANGAN BAHAN AJAR",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","PRAKTIK PERNIAGAAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","RISET PEMASARAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","SALESMANSHIP",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","STATISTIK PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","STRATEGI PEMASARAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","ETIKA BISNIS",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","MANAJEMEN PARIWISATA",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","MANAJEMEN RETAIL",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","MANAJEMEN STRATEGIK",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PEMASARAN DIGITAL",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PERDAGANGAN INTERNASIONAL",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PRAKTEK KEWIRAUSAHAAN",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","SEMINAR PENDIDIKAN TATA NIAGA",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","SISTEM INFORMASI MANAJEMEN",3,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN ASISTENSI MENGAJAR EVALUASI PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN ASISTENSI MENGAJAR MENGEMBANGAN PERANGKAT",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN ASISTENSI MENGAJAR PELAKSANAAN PROGRAM",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN ASISTENSI MENGAJAR PENDESIMINASIAN PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN ASISTENSI MENGAJAR PENGEMBANGAN LAPORAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN ASISTENSI MENGAJAR PERANCANGAN PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN KEWIRAUSAHAAN EVALUASI PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN KEWIRAUSAHAAN PELAKSANAAN PROGRAM",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN KEWIRAUSAHAAN PENDESIMINASIAN PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN KEWIRAUSAHAAN PENGEMBANGAN LAPORAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN KEWIRAUSAHAAN PENGEMBANGAN PERANGKAT",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN KEWIRAUSAHAAN PERANCANGAN PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK DESA EVALUASI PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK DESA PELAKSANAAN PROGRAM",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK DESA PENDESIMINASIAN PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK DESA PENGEMBANGAN LAPORAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK DESA PENGEMBANGAN PERANGKAT",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK DESA PERANCANGAN PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK INDPENDEN EVALUASI PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK INDPENDEN PELAKSANAAN PROGRAM",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK INDPENDEN PENDESIMINASIAN PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK INDPENDEN PENGEMBANGAN LAPORAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK INDPENDEN PENGEMBANGAN PERANGKAT",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK INDPENDEN PERANCANGAN PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK KEMANUSIAAN EVALUASI PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK KEMANUSIAAN PELAKSANAAN PROGRAM",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK KEMANUSIAAN PENDESIMINASIAN PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK KEMANUSIAAN PENGEMBANGAN LAPORAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK KEMANUSIAAN PENGEMBANGAN PERANGKAT",4,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","KKN PROYEK KEMANUSIAAN PERANCANGAN PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PLP-ANALISIS KURIKULUM",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PLP-ASESMEN PEMBELAJARAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PLP-MANAJEMEN SEKOLAH",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PLP-PENGEMBANGAN BAHAN AJAR",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PLP-PENGEMBANGAN MEDIA PEMBELAJARAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PLP-PENGEMBANGAN PROGRAM SEKOLAH",2,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PLP-PENGEMBANGAN RENCANA PEMBELAJARAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Ganjil","PLP-PRAKTIK MENGAJAR",4,7,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Niaga","Genap","SKRIPSI",6,8,"Wajib"
