universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","ILMU KESEHATAN KULIT DAN RAMBUT",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","KOSMETOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","PERAWATAN RAMBUT",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","PERSONAL GROOMING",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","ANATOMI FISIOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","DESAIN TATA RIAS",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","ILMU KESEJAHTERAAN KELUARGA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","KESEHATAN DAN KESELAMATAN KERJA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","MATEMATIKA TERAPAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PANGKAS RAMBUT DASAR",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PERAWATAN KULIT WAJAH",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PENATAAN RAMBUT DAN SANGGUL TRADISIONAL",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","TATA RIAS WAJAH",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","PANGKAS RAMBUT DISAIN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","PENATAAN RAMBUT DAN SANGGUL MODERN",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","PEWARNAAN RAMBUT",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","TATA RIAS PENGANTIN NUSANTARA",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","KERITING DAN PELURUSAN RAMBUT",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","SOLUS PER AQUA (SPA)",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","METODOLOGI PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","TATA RIAS PENGANTIN INTERNASIONAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","LITERASI DIGITAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","MPK-MANAJEMEN OPERASIONAL",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","MPK-PELAKSANAAN PROGRAM",4,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","MPK-PELAPORAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","MPK-PENDESIMINASIAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","MPK-PENILAIAN PROGRAM",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","MPK-PERENCANAAN",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","BAHASA INGGRIS",2,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","MPK-DESAIN PROGRAM",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Ganjil","MPK-KESELAMATAN DAN KESEHATAN KERJA",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PLP-ANALISIS KURIKULUM",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PLP-ASESMEN PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PLP-MANAJEMEN SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PLP-PENGEMBANGAN BAHAN AJAR",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PLP-PENGEMBANGAN MEDIA PEMBELAJARAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PLP-PENGEMBANGAN PROGRAM SEKOLAH",2,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PLP-PENGEMBANGAN RENCANA PEMBELAJARAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Tata Rias","Genap","PLP-PRAKTIK MENGAJAR",4,6,"Wajib"
