universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","ANALISIS STRUKTUR STATIS TERTENTU",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","DASAR -DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","KONSTRUKSI BANGUNAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","MATEMATIKA TERAPAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","MENGGAMBAR BANGUNAN SIPIL",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Genap","PENGEMBANGAN BAHAN AJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Genap","SIFAT-SIFAT FISIS TANAH DAN PRAKTIKUM",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Genap","APLIKASI BIM 3D",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Genap","ILMU UKUR TANAH DAN PRAKTIKUM",4,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Genap","STATISTIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","PERENCANAAN PEMBELAJARAN INOVATIF",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","REKAYASA GEMPA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","TEKNIK PONDASI",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","TEKNOLOGI BETON DAN PRAKTIKUM",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","UTILITAS BANGUNAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","ANALISIS STRUKTUR STATIS TAK TENTU",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","ESTIMASI BIAYA KONSTRUKSI",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","STRUKTUR BAJA (RANGKA DAN PORTAL)",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Ganjil","STRUKTUR BETON BERTULANG",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Genap","PERENCANAAN DAN PENGENDALIAN PROYEK",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Bangunan","Genap","REKAYASA IRIGASI DAN BANGUNAN AIR",3,4,"Wajib"
