universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","ELEKTRONIKA DIGITAL DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","FISIKA TEKNIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","RANGKAIAN ELEKTRONIKA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","RANGKAIAN LISTRIK DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","MATEMATIKA TEKNIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","MEDAN ELEKTRMAGNETIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","PRAKTIKUM FISIKA TEKNIK",1,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","EVALUASI BELAJAR DAN PEMBELAJARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","GAMBAR TEKNIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","KESELAMATAN DAN KESEHATAN KERJA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","PEMROGRAMAN KOMPUTER",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","PENGEMBANGAN BAHAN AJAR",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","PENGUKURAN LISTRIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","RANGKAIAN ELEKTRONIKA LANJUT",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","RANGKAIAN LISTRIK LANJUT",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","BAHAN LISTRIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","KURIKULUM SEKOLAH",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","PERENCANAAN DAN INSTALASI LISTRIK TENAGA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","PERENCANAAN PEMBELAJARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","STATISTIKA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","TEKNIK PENDINGIN DAN TATA UDARA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","TRANSFORMATOR",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","BENGKEL LISTRIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","ELEKTRONIKA DAYA",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","PRAKTIKUM INSTALASI LISTRIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","ANALISIS SISTEM TENAGA LISTRIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","KETERAMPILAN MENGAJAR PEMBELAJARAN MIKRO",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","PEMILIHAN DAN PENGGUNAAN MOTOR LISTRIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","PROGRAMMABLE LOGIC CONTROLLER (PLC)",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","SISTEM DISTRIBUSI TENAGA LISTRIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","MESIN LISTRIK AC",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","MESIN LISTRIK DC",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Genap","PRAKTIKUM KENDALI DAN OTOMASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","BAHASA INGGRIS",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","MPK-PELAKSANAAN PROGRAM",4,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","MPK-PENILAIAN PROGRAM",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","LITERASI DIGITAL",2,5,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Elektro","Ganjil","MPK-DESAIN PROGRAM",3,5,"Wajib"
