universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","DASAR KEPENDIDIKAN KEJURUAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","KIMIA TEKNIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","METROLOGI INDUSTRI",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","TEKNOLOGI MEKANIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","FISIKA TEKNIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","ILMU BAHAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","K3 & HUKUM KETENAGAKERJAAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","MATEMATIKA TEKNIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Genap","AI DALAM PEMBELAJARAN KEJURUAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Genap","PERENCANAAN PEMBELAJARAN TEKNIK MESIN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Genap","PERPINDAHAN PANAS",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Genap","TEKNIK PERMESINAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Genap","TEKNOLOGI MOTOR PEMBAKARAN DALAM",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Genap","TEKNOLOGI PENGELASAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Genap","TERMODINAMIKA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Genap","KELISTRIKAN OTOMOTIF",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Genap","MEKANIKA FLUIDA",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","DESAIN OTOMOTIF",3,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","ELEMEN MESIN PRODUKSI",2,3,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknik Mesin","Ganjil","KINEMATIKA DAN DINAMIKA",2,3,"Wajib"
