universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","BASIS DATA",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","DASAR -DASAR KEPENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","MATEATIKA I",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","TEORI BELAJAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","PEMROGRAMAN DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","ARSITEKTUR DAN ORGANISASI KOMPUTER",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","E-LEARNING",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","KEWIRAUSAHAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","PERENCANAAN PEMBELAJARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","SISTEM OPERASI",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","KURIKULUM SEKOLAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","PEMROGRAMAN BERORIENTASI OBYEK",3,2,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","EVALUASI BELAJAR DAN PEMBELAJARAN",2,3,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","GRAFIKA KOMPUTER",2,3,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","INTERAKSI MANUSIA DAN KOMPUTER",2,3,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","MATEMATIKA DISKRIT",3,3,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","PEMROGRAMAN MOBILE",3,3,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","PEMROGRAMAN VISUAL",3,3,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","PENGEMBANGAN BAHAN AJAR",2,3,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","STRUKTUR DATA",2,3,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","ANALISIS DAN PERANCANGAN SISTEM",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","BAHASA INGGRIS LANJUT",2,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","JARINGAN KOMPUTER",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","KECERDASAN BUATAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","KETERAMPILAN MENGAJAR DAN PEMBELAJARAN MIKRO",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","METODOLOGI PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","PEMROGRAMAN WEB",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Genap","REKAYASA PERANGKAT LUNAK",3,4,"Wajib"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","MAGANG-IMPLEMENTASI PROYEK KOMUNITAS",3,5,"Pilihan"
"Universitas Negeri Surabaya","Pendidikan Teknologi Informasi","Ganjil","MAGANG -KETERAMPILAN KERJA",3,5,"Pilihan"
