universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","KEPENDUDUKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","METODE DAN TEKNIK PERENCANAAN WILAYAH DAN KOTA",3,1,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","PENGANTAR PERENCANAAN WILAYAH DAN KOTA",3,1,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","APLIKASI KOMPUTER",3,1,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","PANCASILA EDUCATION",2,1,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","PENGEMBANGAN KOMUNITAS DAN MASYARAKAT",2,1,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","STATISTIKA PERENCANAAN",3,1,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","TEKNIK KOMUNIKASI DAN PRESENTASI",2,1,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","PERENCANAAN PERUMAHAN DAN PEMUKIMAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","PERENCANAAN TAPAK",3,2,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","STUDIO PROSES PERENCANAAN WILAYAH DAN KOTA",4,2,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","PRASARANA WILAYAH DAN KOTA",3,2,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","STUDIO KOMPUTASI",4,2,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","LITERASI DIGITAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","STUDIO PERENCANAAN DAN PERANCANGAN KAWASAN",4,3,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","TATA GUNA DAN PENGEMBANGAN LAHAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","ANALISIS LOKASI DAN POLA RUANG",3,3,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","EKONOMI WILAYAH DAN KOTA",3,3,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","STUDIO PERENCANAAN DAN PENGELOLAAN KOTA",4,3,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","PERENCANAAN TRANSPORTASI PERKOTAAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","KAJIAN PARIWISATA",2,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","KOTA CERDAS",2,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","MANAJEMEN KEBENCANAAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","MANAJEMEN PEMBANGUNAN DAN PEMBIAYAAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","RUANG DAN PERILAKU",2,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","STUDIO PERENCANAAN TRANSPORTASI",4,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","PEMBANGUNAN BERKELANJUTAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","HUKUM PERENCANAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","MORFOLOGI KOTA",2,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","STUDIO PERENCANAAN DAN PENGELOLAAN WILAYAH",4,4,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","METODE PENELITIAN",4,5,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","REGENERASI KOTA",2,5,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","STUDIO PERENCANAAN KOTA SEHAT DAN INKLUSIF",4,5,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","ANALITIKA PERKOTAAN",2,5,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","EKONOMI SIRKULAR",2,5,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","BAHASA INGGRIS",2,5,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","PERENCANAAN KOTA BARU",2,5,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","SOSIOLOGI PERKOTAAN",2,5,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","SISTEM INFORMASI PERENCANAAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","TATA KELOLA DAN KEBIJAKAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","MANAJEMEN PROYEK",2,6,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","PERENCANAAN REAL ESTATE",2,6,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","PENGEMBANGAN EKONOMI LOKAL",2,6,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","ANALISIS SUMBERDAYA DAN LINGKUNGAN",4,6,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","PENGENDALIAN PEMBANGUNAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","SISTEM PENGAMBILAN KEPUTUSAN DALAM PERENCANAAN",2,6,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","TEORI PERENCANAAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","SEMINAR PROPOSAL TUGAS AKHIR",2,7,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","SISTEM INFORMASI PERENCANAAN LANJUTAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","MANAJEMEN KONFLIK",2,7,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","PERENCANAAN TATA BANGUNAN DAN LINGKUNGAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","PERENCANAAN DAN PERANCANGAN DESA BERKELANJUTAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Ganjil","PERENCANAAN KAWASAN INDUSTRI",3,7,"Wajib"
"Universitas Negeri Surabaya","Perencanaan Wilayah Dan Kota","Genap","TUGAS AKHIR",4,8,"Wajib"
