universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Psikologi","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","KESEHATAN MENTAL",4,1,"Pilihan"
"Universitas Negeri Surabaya","Psikologi","Ganjil","PSIKOLOGI INDUSTRI DAN ORGANISASI",3,1,"Pilihan"
"Universitas Negeri Surabaya","Psikologi","Ganjil","PSIKOLOGI PENDIDIKAN DAN ASESMEN",4,1,"Pilihan"
"Universitas Negeri Surabaya","Psikologi","Ganjil","TEORI KEPRIBADIAN DAN PSIKOLOGI KONTEMPORER",3,1,"Pilihan"
"Universitas Negeri Surabaya","Psikologi","Genap","PSIKOLOGI LINGKUNGAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Genap","DINAMIKA RELASI SOSIAL",4,2,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Genap","PERILAKU ORGANISASI",4,2,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Genap","STATISTIK DAN PENGOLAHAN DATA",3,2,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Genap","TEKNIK PENULISAN KARYA ILMIAH",2,2,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","PENYUSUNAN SKALA PSIKOLOGI",4,3,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","DASAR-DASAR INTERVENSI ANAK BERKEBUTUHAN KHUSUS",2,3,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","METODOLOGI PENELITIAN PSIKOLOGI",5,3,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","OBSERVASI DAN WAWANCARA",4,3,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","PSIKOLOGI ANAK BERKEBUTUHAN KHUSUS",4,3,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","PSIKOLOGI BUDAYA",3,3,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Genap","DASAR ASEMEN KERJA",2,4,"Pilihan"
"Universitas Negeri Surabaya","Psikologi","Genap","DASAR ASESMEN KOGNITIF",4,4,"Pilihan"
"Universitas Negeri Surabaya","Psikologi","Genap","INTERAKSI SOSIAL DIGITAL",3,4,"Pilihan"
"Universitas Negeri Surabaya","Psikologi","Genap","MODIFIKASI PERILAKU",2,4,"Pilihan"
"Universitas Negeri Surabaya","Psikologi","Genap","PSIKOEDUKASI DAN DESAIN PELATIHAN",2,4,"Pilihan"
"Universitas Negeri Surabaya","Psikologi","Genap","PSIKOLOGI KLINIS DAN ABNORMALITAS",4,4,"Pilihan"
"Universitas Negeri Surabaya","Psikologi","Genap","TEKNIK-TEKNIK KONSELING",3,4,"Pilihan"
"Universitas Negeri Surabaya","Psikologi","Ganjil","PENGANALISISAN DATA RISET",3,5,"Pilihan"
"Universitas Negeri Surabaya","Psikologi","Genap","BAHASA INGGRIS",2,6,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Genap","LITERASI DIGITAL",2,6,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","PSIKOLOGI OLAHRAGA DAN MENTAL TRAINING",2,7,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","KODE ETIK PSIKOLOGI",2,7,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","PSIKOLOGI KERJA",3,7,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Ganjil","SEMINAR PROPOSAL TUGAS AKHIR",2,7,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Genap","SEMINAR TUGAS AKHIR",2,8,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Genap","SKRIPSI",6,8,"Wajib"
"Universitas Negeri Surabaya","Psikologi","Genap","TUGAS AKHIR",4,8,"Wajib"
