universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","MATEMATIKA I",4,1,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","MATRIKS DAN RUANG VEKTOR",3,1,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","STATISTIKA DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","EKONOMI MIKRO",3,1,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","KONSEP DASAR IPA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","PENGANTAR SAINS AKTUARIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","KONSERVASI SUMBER DAYA ALAM DAN LINGKUNGAN (KSDAL)",2,2,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","MATEMATIKA 2",4,2,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","MATEMATIKA KEUANGAN I",3,2,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","TEORI PELUANG DAN STATISTIKA",3,2,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","EKONOMI MAKRO",3,2,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","KOMPUTASI DASAR",3,2,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","MATEMATIKA KEUANGAN AKTUARIA",3,3,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","PERSAMAAN DIFERENSIAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","REGRESI LINIER",3,3,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","STATISTIKA MATEMATIKA",3,3,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","ETIKA PROFESI AKTUARIS",2,3,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Ganjil","PENGANTAR AKUNTANSI",3,3,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","MATEMATIKA AKTUARIA",3,4,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","PROSES STOKASTIK",3,4,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","TEORI RISIKO",3,4,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","AKUNTANSI AKTUARIA",3,4,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","ANALISIS RUNTUN WAKTU",3,4,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","BAHASA INGGRIS",2,4,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","KEWARGANEGARAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","MODEL KESINTASAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","ASURANSI JIWA",3,4,"Wajib"
"Universitas Negeri Surabaya","Sains Aktuaria","Genap","KOMUNIKASI PUBLIK",2,4,"Wajib"
