universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Sains Data","Ganjil","ALJABAR MATRIKS",3,1,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","MATEMATIKA DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","MATEMATIKA DISKRIT",3,1,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","ARSITEKTUR KOMPUTER DAN SISTEM OPERASI",3,1,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","PEMROGRAMAN DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Genap","INTERAKSI MANUSIA DAN KOMPUTER",3,2,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Genap","KONSERVASI SUMBER DAYA ALAM DAN LINGKUNGAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Genap","TEORI PROBABILITAS",3,2,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Genap","ETIKA KECERDASAN ARTIFISIAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Genap","KALKULUS LANJUT",3,2,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Genap","STRUKTUR DATA DAN ALGORITMA",3,2,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","DATA WRANGLING",3,3,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","BASIS DATA",3,3,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","KEAMANAN DAN INTEGRITAS DATA",2,3,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","KECERDASAN ARTIFISIAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","PEMROSESAN TEKS",3,3,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","PENGOLAHAN SINYAL DIGITAL",3,3,"Wajib"
"Universitas Negeri Surabaya","Sains Data","Ganjil","STATISTIKA INFERENSIAL",3,3,"Wajib"
