universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","STATISTIKA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","TEORI SASTRA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Islam",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","FONOLOGI",4,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","PENGANTAR FILOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","PENGANTAR LINGUISTIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","SEJARAH SASTRA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","ETIKA DAN ESTETIKA",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","KAJIAN BUDAYA",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","KAJIAN DRAMA",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","KAJIAN PROSA",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","MORFOLOGI",4,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","PENGANTAR FILSAFAT",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","METODOLOGI PENELITIAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","SOSIOLOGI SASTRA",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","ANALISIS WACANA",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","KAJIAN PUISI",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","KRITIK SASTRA",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","SASTRA DIGITAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","SASTRA LISAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","SEMANTIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","SINTAKSIS",4,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","SOSIOLINGUISTIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","LINGUISTIK FORENSIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","PENELITIAN BAHASA",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","DIALEKTOLOGI",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","EKRANISASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","KRITIK TEKS",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","PENELITIAN SASTRA",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","PENGANTAR STILISTIKA",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","PENYUNTINGAN BAHASA",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","PSIKOLINGUISTIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","SASTRA PERBANDINGAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Genap","SEMIOTIKA",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","TUGAS AKHIR",4,7,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","ANTROPOLOGI BAHASA",2,7,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","ANTROPOLOGI SASTRA",2,7,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","BAHASA INDONESIA UNTUK PENUTUR ASING (BIPA)",2,7,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","JURNALISTIK",2,7,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","KEHUMASAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","KEWIRAUSAHAAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","MENULIS KREATIF",2,7,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","PENULISAN DAN PEMBACAAN PUISI",2,7,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","PENULISAN DAN PEMENTASAN DRAMA",2,7,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","SASTRA BANDINGAN",2,7,"Wajib"
"Universitas Negeri Surabaya","Sastra Indonesia","Ganjil","SEMINAR PROPOSAL TUGAS AKHIR",2,7,"Wajib"
