universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","BASIC PHONETICS",4,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","ESSENTIAL COMMUNICATION SKILLS",4,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","INTENSIVE READING AND WRITING SKILLS",4,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","EXTENSIVE READING AND LISTENING",4,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","ENTREPRENEURSHIP",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","CRITICAL LITERACY",4,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","CRITICAL ORACY",4,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","INTRODUCTION TO LINGUISTICS",3,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","INTRODUCTION TO LITERATURE",3,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","ARGUMENTATIVE WRITING",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","ENGLISH MORPHOLOGY AND SYNTAX",3,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","ENGLISH PHONOLOGY",3,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","GLOBAL AND INTERCULTURAL COMMUNICATION",3,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","POETRY APPRECIATION",3,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","SPEAKING FOR DEBATING",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","FUNCTIONAL GRAMMAR IN USE",3,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","PROSE APPRECIATION",3,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","ACADEMIC WRITING FOR RESEARCH PURPOSES",4,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","BAHASA JERMAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","BAHASA MANDARIN",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","DIGITAL HUMANITIES",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","DRAMA AND PERFORMANCE",3,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","ENGLISH FOR MEDIA COMMUNICATION",3,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","ENGLISH SEMANTICS AND PRAGMATICS",3,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","STATISTICS FOR LANGUAGE STUDIES",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","BAHASA JEPANG",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","CRITICAL APPROACHES TO LITERATURE",3,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","LANGUAGE IN SOCIETY",3,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","RESEARCH METHODOLOGY IN LINGUISTICS",3,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","RESEARCH METHODOLOGY IN LITERATURE",3,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","TRANSLATION: THEORY AND PRACTICE",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","DISCOURSE THEORY AND PRACTICE",2,5,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","FILM APPRECIATION",2,5,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","RESEARCH PROPOSAL DEVELOPMENT",2,6,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","APPRAISAL THEORY IN USE",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","CHILDRENS LITERATURE",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","COMPARATIVE LITERATURE",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","DIGITAL STORYTELLING",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","ENGLISH FOR BUSINESS COMMUNICATION",3,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","ENGLISH FOR TOURISM AND HOSPITALITY",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","EXTRINSIC APPROACHES TO LITERATURE",3,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","FIELD IN TRANSLATIONS",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","LITERATURE IN THE SCHOOL CURRICULUM",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","POPULAR CULTURE STUDIES",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","SEMINAR TUGAS AKHIR",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","AUDIO VISUAL TRANSLATION",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","CREATIVE WRITING",3,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","GENDER STUDIES",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","INTERPRETATING PRACTICE",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","KEY CONCEPTS IN PSYCHOLINGUISTICS",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","LITERARY TRANSLATION",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","STYLISTICS IN USE",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Ganjil","WORLD LITERATURE",2,7,"Pilihan"
"Universitas Negeri Surabaya","Sastra Inggris","Genap","TUGAS AKHIR",4,8,"Wajib"
