universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","DEUTSCH FUER ANFAENGER (A1)",6,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","GRAMMATIK UND WORTSCHATZ IN DER KOMMUNIKATION (A1)",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","INTERKULTURELLE KOMPETENZ",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","LITERATURWERKE FUER ANFAENGER",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","PHONETIK UND PHONOLOGIE",2,1,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","BERPIKIR KRITIS DAN KREATIF",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","COMMUNICATION SKILLS",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","DEUTSCH FUER ANFAENGER (A2)",6,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","DIGITALE LITERATUR",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","EMPATI DAN KECERDASAN EMOSIONAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","KEWIRAUSAHAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","MORPHOLOGIE-SYNTAX",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","GRAMMATIK UND WORTSCHATZ IN DER KOMMUNIKATION (A2)",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","SEMANTIK-PRAGMATIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","SOFTSKILLS",2,2,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","DEUTSCH FUER FORTGESCHRITTENE (B1)",6,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","GRAMMATIK UND WORTSCHATZ IN DER KOMMUNIKATION (B1)",3,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","KREATIVES SCHREIBEN",3,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","LITERATURKRITIK",3,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","STILISTIKA",2,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Ganjil","TEORI DAN METODE PENERJEMAHAN",4,3,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","LITERATURAUFFUEHRUNG",3,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","VORBEREITUNG ZUR PRUEFUNG B1",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","AKADEMISCHER VORTRAG",2,4,"Wajib"
"Universitas Negeri Surabaya","Sastra Jerman","Genap","ANALISIS WACANA KRITIS",2,4,"Wajib"
