universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Seni Musik","Ganjil","BAND",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","METODE KELAS MUSIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","PSIKOLOGI MUSIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","SEJARAH MUSIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","SOLFEGIO",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","TEORI MUSIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","LITERASI MUSIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","PENGANTAR PRAKTEK DASAR INSTRUMEN",3,1,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","HARMONI",2,2,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","INSTRUMEN POKOK TINGKAT INDRIA",3,2,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","MANAJEMEN SENI PERTUNJUKAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","STATISTIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","AKUSTIK ORGANOLOGI",2,2,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","ILMU BENTUK MUSIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","KAJIAN PEDAGOGIK MUSIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","ARANSEMEN",2,3,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","ESTETIKA MUSIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","INSTRUMEN POKOK TINGKAT MUDA",3,3,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","KRITIK MUSIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","METODE PENELITIAN",4,3,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","MUSIK MELAYU (DANGDUT)",2,3,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","KERONCONG",2,3,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","PRODUKSI MUSIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","ETNOMUSIKOLOGI",2,4,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","KOMPOSISI MUSIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","KONTEN MUSIK KREATIF",2,4,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","MUSIK POP DAN JAZZ",2,4,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","ORKESTRASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","PADUAN SUARA /ANSAMBEL /ORKESTRA",2,4,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","SEMINAR",2,4,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","DIREKSI",2,4,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","INSTRUMEN POKOK TINGKAT MADYA",4,4,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","ANSAMBEL",2,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","GITAR POP",2,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","KEYBOARD",2,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","KONTRAPUNG",2,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","MARCHINGBAND",2,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","MENCIPTA LAGU",2,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","MUSIK FILM, TELEVISI, DAN, ANIMASI",3,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","MUSIK NUSANTARA",2,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","PENULISAN ARTIKEL JURNAL MUSIK",3,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","SOFTWARE NOTASI MUSIK",2,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","VOCAL GROUP",2,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","INSTRUMEN PENDAMPING",4,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","INSTRUMEN POKOK TINGKAT UTAMA",4,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Ganjil","PRAKTEK MUSIK (GESEK, TIUP, PERKUSI)",4,5,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","KKN ASISTENSI MENGAJAR MENGEMBANGAN PERANGKAT",4,6,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","KKN ASISTENSI MENGAJAR PELAKSANAAN PROGRAM",4,6,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","KKN ASISTENSI MENGAJAR PENDESIMINASIAN PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","KKN ASISTENSI MENGAJAR PENGEMBANGAN LAPORAN",3,6,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","KKN ASISTENSI MENGAJAR PERANCANGAN PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","KKN KEWIRAUSAHAAN EVALUASI PROGRAM",3,6,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","KKN KEWIRAUSAHAAN PELAKSANAAN PROGRAM",4,6,"Wajib"
"Universitas Negeri Surabaya","Seni Musik","Genap","KKN KEWIRAUSAHAAN PENGEMBANGAN PERANGKAT",4,6,"Wajib"
