universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","PENGANTAR STUDI SENI RUPA",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","TEKNIK SENI LUKIS",3,1,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","TEKNIK SENI PATUNG",3,1,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","APRESIASI SENI RUPA",2,1,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","RUPA DASAR 2 DIMENSI",3,1,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","SKETSA",3,1,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Genap","STUDIO KERAMIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Genap","STUDIO TEKSTIL",3,2,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Genap","TEKNIK MENGGAMBAR",3,2,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Genap","RUPA DASAR 3 DIMENSI",3,2,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Genap","SEJARAH SENI RUPA BARAT",2,2,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","RISET ARTISTIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","STUDIO KAYU",3,3,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","TINJAUAN SENI RUPA",2,3,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","SENI CETAK GRAFIS",3,3,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","BAHASA VISUAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","FOTOGRAFI DASAR",3,3,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","GAMBAR RAGAM HIAS",3,3,"Wajib"
"Universitas Negeri Surabaya","Seni Rupa Murni","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
