universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Sistem Informasi","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Ganjil","MANAJEMEN SUMBER DAYA MANUSIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Ganjil","MATEMATIKA DISKRIT",3,1,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Ganjil","PENGANTAR DAN KONSEP SISTEM INFORMASI",3,1,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Ganjil","PEMROGRAMAN DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Ganjil","PROBABILITAS DAN STATISTIKA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Genap","JARINGAN KOMPUTER",2,2,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Genap","KEPEMIMPINAN DAN MANAJEMEN ORGANISASI",2,2,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Genap","MANAJEMEN RANTAI PASOK",3,2,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Genap","SISTEM BASIS DATA",3,2,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Genap","SISTEM INFORMASI MANAJEMEN",3,2,"Wajib"
"Universitas Negeri Surabaya","Sistem Informasi","Genap","UI/UX",3,2,"Wajib"
