universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Sosiologi","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Ganjil","PENGANTAR ANTROPOLOGI BUDAYA",2,1,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Ganjil","PENGANTAR ILMU EKONOMI",2,1,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Ganjil","PENGANTAR ILMU PENDIDIKAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Ganjil","PENGANTAR ILMU POLITIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Ganjil","PENGANTAR METODE PENELITIAN SOSIOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Ganjil","PENGANTAR SOSIOLOGI",2,1,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Ganjil","PENGANTAR STATISTIKA SOSIAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Islam",2,2,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Genap","METODE PENELITIAN SOSIOLOGI KUANTITATIF",2,2,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Genap","LITERASI DIGITAL",2,2,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Genap","PERUBAHAN SOSIAL-BUDAYA",2,2,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Genap","SOSIOLOGI EKONOMI DAN INDUSTRI",2,2,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Genap","SOSIOLOGI HUKUM",2,2,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Genap","STATISTIK SOSIAL TERAPAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Genap","STRATIFIKASI SOSIAL DAN KETIDAKSETARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Genap","TEORI-TEORI SOSIOLOGI KLASIK",3,2,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Ganjil","CULTURE STUDIES",2,3,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Ganjil","METODE PENELITIAN SOSIOLOGI KUALITATIF",2,3,"Wajib"
"Universitas Negeri Surabaya","Sosiologi","Ganjil","SOSIOLOGI KORUPSI",2,3,"Wajib"
