universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","FISIKA I",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","KALKULUS I",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","MATEMATIKA DISKRIT",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","PENGANTAR TEKNIK ELEKTRO DAN TEKNOLOGI INFORMASI",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","PRAKTIKUM FISIKA I",1,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","ALJABAR LINIER",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","FISIKA II",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","PRAKTIKUM FISIKA II",1,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","STATISTIKA",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","ALGORITMA PEMOGRAMAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","KALKULUS II",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","METODE NUMERIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","ELEKTRONIKA ANALOG",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","ELEKTRONIKA DIGITAL",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","KIMIA DASAR",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","PRAKTIKUM ELEKTRONIKA ANALOG",1,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","PRAKTIKUM ELEKTRONIKA DIGITAL",1,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","PROBABILITAS DAN VARIABEL ACAK",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","RANGKAIAN LISTRIK I",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","ANALISIS VEKTOR",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","MENGGAMBAR TEKNIK",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","ELEKTRONIKA DAYA",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","PENGOLAHAN SINYAL DIGITAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","PERSAMAAN DIFERENSIAL",3,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","PRAKTIKUM SISTEM KONTROL",1,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","PRAKTIKUM SISTEM TELEKOMUNIKASI",1,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","PRAKTIKUM SISTEM TENAGA LISTRIK",1,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","RANGKAIAN LISTRIK II",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","SISTEM TENAGA LISTRIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","DASAR SISTEM KONTROL",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","DASAR SISTEM TELEKOMUNIKASI",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","DEVAIS SEMIKONDUKTOR & MIKROELEKTRONIKA",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","EMBEDDED SYSTEM",3,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","KOMPUTASI CERDAS",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","PENGOLAHAN SINYAL MULTIMEDIA",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","PRAKTIKUM EMBEDDED SYSTEM",1,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","PRAKTIKUM MIKROKONTROLER",1,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","PROYEK TEKNIK ELEKTRO",4,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","SENSOR DAN AKTUATOR",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","SIMULASI SISTEM",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","SISTEM KOMUNIKASI NIRKABEL",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","SISTEM KONTROL ADAPTIF",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Elektro","Ganjil","SISTEM KONTROL CERDAS*",2,5,"Wajib"
