universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","ALJABAR LINIER DAN MATRIKS",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","ARSITEKTUR DAN ORGANISASI KOMPUTER",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","INTERAKSI MANUSIA DAN KOMPUTER",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","ETIKA PROFESI",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","MATEMATIKA",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","PEMROGRAMAN DASAR",4,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Genap","MATEMATIKA DISKRIT",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Genap","PEMROGRAMAN BERORIENTASI OBYEK",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Genap","SISTEM OPERASI",4,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Genap","STATISTIKA",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Genap","STRUKTUR DATA",4,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","PEMROGRAMAN BERBASIS PLATFORM",4,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","SAINS KOMPUTASI",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","BAHASA INDONESIA",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","BASIS DATA",4,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","JARINGAN KOMPUTER",4,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Ganjil","KECERDASAN BUATAN",3,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Informatika","Genap","PENGOLAHAN CITRA DIGITAL",3,4,"Wajib"
