universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","ILMU HAYAT",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","KIMIA DASAR",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","MATERIAL TEKNIK",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","FISIKA 1",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","GAMBAR TEKNIK",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","MATEMATIKA 1",4,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","KINEMATIKA DINAMIKA 1",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","FISIKA 2",3,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","GAMBAR MESIN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","MATEMATIKA 2",4,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","MEKANIKA KEKUATAN MATERIAL 1",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PRAKTEK FISIKA",1,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PRAKTEK MATERIAL TEKNIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","KINEMATIKA DINAMIKA 2",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","MEKANIKA FLUIDA 1",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","STATISTIK DAN PROBABILITAS",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","TERMODINAMIKA 1",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","ELEMEN MESIN",4,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","MATEMATIKA 3",4,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","MEKANIKA KEKUATAN MATERIAL 2",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","PERPINDAHAN KALOR DAN MASSA 1",2,3,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","MEKANIKA FLUIDA 2",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PRAKTEK TERMODINAMIKA",1,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PROSES MANUFAKTUR",3,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","TERMODINAMIKA 2",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","MATEMATIKA 4",4,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PERPINDAHAN KALOR DAN MASSA 2",2,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PRAKTEK MEKANIKA FLUIDA",1,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Genap","PRAKTEK PERPINDAHAN KALOR DAN MASSA",1,4,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","PRAKTEK TEKNIK TENAGA LISTRIK",1,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","TEKNIK TENAGA LISTRIK",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","BAHASA INGGRIS",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","GETARAN MEKANIK",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","LITERASI DIGITAL",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","MEKATRONIKA",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","METODOLOGI PENELITIAN",3,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","PENGUKURAN TEKNIK",2,5,"Wajib"
"Universitas Negeri Surabaya","Teknik Mesin","Ganjil","PRAKTEK COMPUTER AIDED DESIGN",2,5,"Wajib"
