universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Teknik Pertambangan","Ganjil","BAHASA INDONESIA",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Ganjil","BAHASA INGGRIS",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Ganjil","FISIKA 1",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Ganjil","GEOLOGI DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Ganjil","IDENTIFIKASI MINERAL DAN BATUAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Ganjil","KIMIA DASAR",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Ganjil","MATEMATIKA 1",3,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Ganjil","PANCASILA",2,1,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Genap","MEKANIKA TEKNIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Genap","KIMIA ANALITIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Genap","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Genap","FISIKA 2",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Genap","GAMBAR TEKNIK",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Genap","MATEMATIKA 2",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Genap","GEOLOGI STRUKTUR",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Genap","KEWARGANEGARAAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Genap","PENDIDIKAN JASMANI DAN KEBUGARAN",2,2,"Wajib"
"Universitas Negeri Surabaya","Teknik Pertambangan","Genap","STATISTIK DASAR",2,2,"Wajib"
